YYYYMM,Description,Quantity,0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,Erratic,Intermittent,Lumpy,Smooth,Quantity_bf1mm,0_cluster_bf1mm,1_cluster_bf1mm,2_cluster_bf1mm,3_cluster_bf1mm,4_cluster_bf1mm,predict_Quantity
2011-12-01,12 PENCILS SMALL TUBE SKULL,65,4,1,0,0,1,0,0,1,0,703.0,23.0,1.0,0.0,0.0,1.0,497.0
2011-12-01,12 PENCILS TALL TUBE POSY,151,6,0,0,0,1,1,0,0,0,224.0,9.0,0.0,0.0,0.0,0.0,354.0
2011-12-01,12 PENCILS TALL TUBE RED RETROSPOT,55,5,0,0,0,1,0,0,1,0,587.0,53.0,10.0,0.0,0.0,1.0,230.0
2011-12-01,12 PENCILS TALL TUBE SKULLS,41,3,1,0,0,1,0,0,1,0,525.0,58.0,11.0,0.0,0.0,1.0,354.0
2011-12-01,12 PENCILS TALL TUBE WOODLAND,14,2,0,0,0,0,0,0,1,0,346.0,40.0,2.0,0.0,0.0,1.0,170.0
2011-12-01,12 RED ROSE PEG PLACE SETTINGS,19,4,1,0,0,1,0,0,1,0,59.0,8.0,1.0,0.0,0.0,5.0,54.0
2011-12-01,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9,3,0,0,0,0,0,0,1,0,448.0,58.0,14.0,0.0,0.0,3.0,148.0
2011-12-01,16 PIECE CUTLERY SET PANTRY DESIGN,36,0,2,1,0,1,0,0,1,0,16.0,5.0,1.0,0.0,0.0,1.0,34.0
2011-12-01,18PC WOODEN CUTLERY SET DISPOSABLE,6,0,3,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,171.0
2011-12-01,20 DOLLY PEGS RETROSPOT,51,6,1,0,0,0,0,0,1,0,313.0,26.0,4.0,0.0,0.0,2.0,434.0
2011-12-01,200 BENDY SKULL STRAWS,13,1,1,0,0,0,1,0,0,0,211.0,5.0,2.0,0.0,0.0,0.0,46.0
2011-12-01,200 RED + WHITE BENDY STRAWS,7,1,3,0,0,0,0,0,1,0,56.0,11.0,9.0,0.0,0.0,0.0,63.0
2011-12-01,3 DRAWER ANTIQUE WHITE WOOD CABINET,12,2,0,0,0,0,0,0,1,0,213.0,47.0,3.0,0.0,0.0,5.0,179.0
2011-12-01,3 GARDENIA MORRIS BOXED CANDLES,6,1,0,0,0,0,1,0,0,0,28.0,2.0,0.0,0.0,0.0,0.0,43.0
2011-12-01,3 HEARTS HANGING DECORATION RUSTIC,25,3,1,0,0,0,0,0,1,0,1333.0,69.0,11.0,1.0,0.0,1.0,911.0
2011-12-01,3 HOOK HANGER MAGIC GARDEN,98,2,2,1,0,0,0,0,1,0,241.0,2.0,0.0,1.0,0.0,1.0,85.0
2011-12-01,3 HOOK PHOTO SHELF ANTIQUE WHITE,10,5,2,0,0,0,0,0,1,0,96.0,30.0,4.0,0.0,0.0,2.0,72.0
2011-12-01,3 PIECE SPACEBOY COOKIE CUTTER SET,44,7,1,0,0,0,0,0,1,0,167.0,31.0,9.0,0.0,0.0,1.0,186.0
2011-12-01,3 RAFFIA RIBBONS 50'S CHRISTMAS ,3,2,1,0,0,0,0,0,1,0,713.0,42.0,23.0,0.0,0.0,3.0,503.0
2011-12-01,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,16,1,2,0,0,0,0,0,1,0,171.0,10.0,20.0,0.0,0.0,1.0,230.0
2011-12-01,3 ROSE MORRIS BOXED CANDLES,6,0,2,0,0,0,0,0,1,0,441.0,61.0,1.0,0.0,0.0,3.0,324.0
2011-12-01,3 STRIPEY MICE FELTCRAFT,107,10,2,1,0,0,0,0,1,0,354.0,55.0,13.0,0.0,0.0,5.0,221.0
2011-12-01,3 TIER CAKE TIN GREEN AND CREAM,2,1,0,0,0,0,0,0,1,0,44.0,17.0,8.0,0.0,0.0,1.0,25.0
2011-12-01,3 TIER CAKE TIN RED AND CREAM,2,1,0,0,0,0,0,0,1,0,94.0,13.0,9.0,0.0,0.0,2.0,33.0
2011-11-01,3 TIER SWEETHEART GARDEN SHELF,3,2,0,0,0,0,0,0,1,0,2.0,2.0,0.0,0.0,0.0,0.0,6.0
2011-12-01,3 TRADITIONAl BISCUIT CUTTERS  SET,22,9,0,0,0,0,0,0,1,0,202.0,24.0,4.0,0.0,0.0,3.0,54.0
2011-12-01,3 WHITE CHOC MORRIS BOXED CANDLES,7,0,1,0,0,0,0,0,1,0,388.0,28.0,4.0,0.0,0.0,4.0,256.0
2011-12-01,36 DOILIES DOLLY GIRL,44,4,0,0,0,0,1,0,0,0,39.0,4.0,0.0,0.0,0.0,0.0,58.0
2011-12-01,36 DOILIES VINTAGE CHRISTMAS,37,4,0,0,0,0,0,0,1,0,207.0,5.0,2.0,0.0,0.0,0.0,500.0
2011-12-01,36 FOIL HEART CAKE CASES,25,8,0,0,0,0,0,0,1,0,323.0,13.0,3.0,1.0,0.0,2.0,241.0
2011-12-01,36 FOIL STAR CAKE CASES ,21,5,0,0,0,0,1,0,0,0,215.0,15.0,6.0,0.0,0.0,1.0,96.0
2011-09-01,36 PENCILS TUBE POSY,17,0,2,0,0,0,1,0,0,0,2.0,1.0,1.0,0.0,0.0,0.0,17.0
2011-12-01,36 PENCILS TUBE RED RETROSPOT,13,3,1,0,0,0,0,0,1,0,395.0,31.0,15.0,0.0,0.0,1.0,286.0
2011-12-01,36 PENCILS TUBE SKULLS,22,1,5,0,0,0,0,0,1,0,323.0,43.0,16.0,0.0,0.0,0.0,163.0
2011-12-01,36 PENCILS TUBE WOODLAND,8,1,4,0,0,0,0,0,1,0,236.0,11.0,1.0,1.0,0.0,0.0,186.0
2011-12-01,3D CHRISTMAS STAMPS STICKERS ,37,2,1,0,0,0,0,0,1,0,182.0,16.0,10.0,0.0,0.0,3.0,150.0
2011-12-01,3D DOG PICTURE PLAYING CARDS,7,1,1,0,0,0,0,0,1,0,34.0,9.0,4.0,0.0,0.0,0.0,33.0
2011-12-01,3D HEARTS  HONEYCOMB PAPER GARLAND,13,2,0,0,0,0,1,0,0,0,24.0,1.0,0.0,0.0,0.0,1.0,19.0
2011-12-01,3D SHEET OF CAT STICKERS,3,1,0,0,0,0,0,0,1,0,14.0,1.0,1.0,0.0,0.0,0.0,9.0
2011-12-01,3D SHEET OF DOG STICKERS,25,2,4,0,0,0,0,0,1,0,51.0,5.0,9.0,0.0,0.0,1.0,17.0
2011-12-01,3D TRADITIONAL CHRISTMAS STICKERS,19,1,1,0,0,0,0,0,1,0,390.0,35.0,11.0,0.0,0.0,3.0,302.0
2011-12-01,3D VINTAGE CHRISTMAS STICKERS ,56,3,2,0,0,0,0,0,1,0,288.0,26.0,14.0,0.0,0.0,3.0,320.0
2011-12-01,4 BLUE DINNER CANDLES SILVER FLOCK,2,0,0,0,0,1,1,0,0,0,7.0,6.0,0.0,0.0,0.0,0.0,3.0
2011-11-01,4 BURGUNDY WINE DINNER CANDLES,6,1,0,0,0,0,1,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,7.0
2011-12-01,4 IVORY DINNER CANDLES SILVER FLOCK,5,0,2,0,0,0,0,0,1,0,64.0,14.0,4.0,0.0,0.0,8.0,39.0
2011-12-01,4 LAVENDER BOTANICAL DINNER CANDLES,5,0,2,0,0,0,0,0,1,0,378.0,40.0,9.0,0.0,0.0,2.0,136.0
2011-12-01,4 LILY  BOTANICAL DINNER CANDLES,12,1,2,0,0,0,0,0,1,0,134.0,14.0,7.0,0.0,0.0,0.0,74.0
2011-12-01,4 PEAR BOTANICAL DINNER CANDLES,4,1,1,0,0,0,0,0,1,0,354.0,47.0,9.0,0.0,0.0,1.0,284.0
2011-12-01,4 PINK DINNER CANDLE SILVER FLOCK,2,0,0,0,0,2,0,0,1,0,25.0,7.0,1.0,0.0,0.0,2.0,12.0
2011-12-01,4 PINK FLOCK CHRISTMAS BALLS,3,0,2,0,0,0,1,0,0,0,20.0,4.0,0.0,0.0,0.0,2.0,3.0
2011-12-01,4 ROSE PINK DINNER CANDLES,1,0,1,0,0,0,1,0,0,0,7.0,1.0,4.0,0.0,0.0,0.0,20.0
2011-11-01,4 SKY BLUE DINNER CANDLES,5,1,3,0,0,0,1,0,0,0,17.0,1.0,6.0,0.0,0.0,1.0,18.0
2011-12-01,4 TRADITIONAL SPINNING TOPS,19,3,1,0,0,0,0,0,1,0,525.0,48.0,21.0,0.0,0.0,6.0,503.0
2011-12-01,4 VANILLA BOTANICAL CANDLES,9,0,2,0,0,0,1,0,0,0,364.0,39.0,14.0,0.0,0.0,2.0,81.0
2011-12-01,4 WILDFLOWER BOTANICAL CANDLES,14,1,3,0,0,0,0,0,1,0,16.0,5.0,2.0,0.0,0.0,0.0,101.0
2011-08-01,5 HOOK HANGER MAGIC TOADSTOOL,26,0,0,0,0,1,1,0,0,0,-5.0,1.0,0.0,0.0,0.0,0.0,84.0
2011-12-01,5 HOOK HANGER RED MAGIC TOADSTOOL,221,2,1,1,0,0,0,0,1,0,29.0,6.0,0.0,0.0,0.0,0.0,85.0
2011-12-01,50'S CHRISTMAS PAPER GIFT BAG,40,3,0,0,0,0,0,0,1,0,188.0,15.0,5.0,0.0,0.0,0.0,198.0
2011-11-01,50CM METAL STRING WITH  7 CLIPS,6,0,0,0,0,2,1,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,7.0
2011-11-01,6 CHOCOLATE LOVE HEART T-LIGHTS,258,12,3,0,0,2,0,0,1,0,143.0,10.0,2.0,0.0,0.0,3.0,55.0
2011-12-01,6 EGG HOUSE PAINTED WOOD,10,1,0,0,0,1,0,0,1,0,15.0,4.0,4.0,0.0,0.0,2.0,16.0
2011-12-01,6 GIFT TAGS 50'S CHRISTMAS ,108,7,1,0,0,0,0,0,1,0,824.0,65.0,26.0,0.0,0.0,2.0,768.0
2011-12-01,6 GIFT TAGS VINTAGE CHRISTMAS ,139,10,3,0,0,0,0,0,1,0,663.0,53.0,28.0,0.0,0.0,0.0,767.0
2011-12-01,6 RIBBONS ELEGANT CHRISTMAS ,32,3,2,0,0,0,0,0,1,0,249.0,25.0,23.0,0.0,0.0,3.0,77.0
2011-12-01,6 RIBBONS EMPIRE  ,31,2,3,0,0,0,0,0,1,0,140.0,11.0,24.0,0.0,0.0,3.0,88.0
2011-12-01,6 RIBBONS RUSTIC CHARM,104,9,6,0,0,1,0,0,1,0,953.0,72.0,24.0,1.0,0.0,5.0,824.0
2011-12-01,6 RIBBONS SHIMMERING PINKS ,33,1,5,0,0,0,1,0,0,0,90.0,6.0,21.0,0.0,0.0,3.0,88.0
2011-12-01,6 ROCKET BALLOONS ,103,3,1,0,0,0,0,0,1,0,203.0,26.0,3.0,0.0,0.0,5.0,207.0
2011-12-01,60 CAKE CASES DOLLY GIRL DESIGN,141,9,2,0,0,1,0,0,1,0,789.0,43.0,14.0,1.0,0.0,3.0,780.0
2011-12-01,60 CAKE CASES VINTAGE CHRISTMAS,125,7,2,0,0,0,0,0,1,0,3215.0,112.0,35.0,0.0,0.0,5.0,3098.0
2011-12-01,60 TEATIME FAIRY CAKE CASES,439,22,3,0,0,2,0,0,1,0,1827.0,77.0,20.0,0.0,0.0,4.0,1606.0
2011-12-01,6PC WOOD PLATE SET DISPOSABLE,2,0,1,0,0,0,0,0,1,0,5.0,2.0,1.0,0.0,0.0,0.0,31.0
2011-12-01,72 SWEETHEART FAIRY CAKE CASES,226,12,2,1,0,0,0,0,1,0,941.0,61.0,12.0,0.0,0.0,9.0,746.0
2011-12-01,75 BLACK PETIT FOUR CASES,8,1,0,0,0,0,1,0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,10.0
2011-11-01,75 GREEN FAIRY CAKE CASES,9,5,1,0,0,0,0,0,1,0,12.0,1.0,3.0,0.0,0.0,1.0,5.0
2011-12-01,75 GREEN PETIT FOUR CASES,50,2,0,0,0,1,1,0,0,0,62.0,3.0,5.0,0.0,0.0,0.0,31.0
2011-12-01,ABC TREASURE BOOK BOX ,29,6,0,0,0,0,0,0,1,0,179.0,16.0,9.0,1.0,0.0,2.0,248.0
2011-12-01,ABSTRACT CIRCLE JOURNAL ,6,0,3,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,13.0
2011-12-01,ABSTRACT CIRCLES POCKET BOOK,1,1,0,0,0,0,0,0,1,0,32.0,7.0,0.0,0.0,0.0,0.0,20.0
2011-12-01,ABSTRACT CIRCLES SKETCHBOOK ,6,2,1,0,0,0,0,0,1,0,24.0,8.0,4.0,0.0,0.0,3.0,9.0
2011-12-01,ACRYLIC GEOMETRIC LAMP,7,0,3,0,0,0,0,0,1,0,5.0,2.0,1.0,0.0,0.0,0.0,2.0
2011-12-01,ADULT APRON APPLE DELIGHT,4,1,0,0,0,0,0,0,1,0,46.0,11.0,1.0,0.0,0.0,5.0,29.0
2011-12-01,ADVENT CALENDAR GINGHAM SACK,15,2,2,0,0,0,0,0,1,0,412.0,41.0,23.0,0.0,0.0,9.0,340.0
2011-12-01,AFGHAN SLIPPER SOCK PAIR,10,1,0,0,0,0,0,0,1,0,5.0,2.0,0.0,0.0,0.0,0.0,3.0
2011-12-01,AGED GLASS SILVER T-LIGHT HOLDER,433,11,0,0,0,0,0,0,1,0,998.0,41.0,7.0,0.0,0.0,1.0,950.0
2011-12-01,AIRLINE BAG VINTAGE JET SET BROWN,9,1,1,0,0,1,0,0,1,0,32.0,10.0,9.0,0.0,0.0,1.0,28.0
2011-12-01,AIRLINE BAG VINTAGE JET SET RED,30,3,3,0,0,1,0,0,1,0,46.0,12.0,9.0,0.0,0.0,1.0,37.0
2011-12-01,AIRLINE BAG VINTAGE JET SET WHITE,10,0,2,0,0,1,0,0,1,0,20.0,5.0,5.0,0.0,0.0,3.0,18.0
2011-12-01,AIRLINE BAG VINTAGE TOKYO 78,21,2,5,0,0,0,0,0,1,0,200.0,34.0,24.0,0.0,0.0,9.0,100.0
2011-12-01,AIRLINE BAG VINTAGE WORLD CHAMPION ,2,1,1,0,0,0,0,0,1,0,35.0,10.0,8.0,0.0,0.0,1.0,20.0
2011-12-01,"AIRLINE LOUNGE,METAL SIGN",27,3,5,0,0,1,0,0,1,0,77.0,11.0,16.0,0.0,0.0,5.0,59.0
2011-12-01,ALARM CLOCK BAKELIKE CHOCOLATE,58,7,4,0,0,1,0,0,1,0,207.0,39.0,20.0,0.0,0.0,4.0,187.0
2011-12-01,ALARM CLOCK BAKELIKE GREEN,102,12,4,0,0,2,0,0,1,0,716.0,102.0,32.0,0.0,0.0,3.0,672.0
2011-12-01,ALARM CLOCK BAKELIKE IVORY,67,15,0,0,0,0,0,0,1,0,348.0,55.0,14.0,2.0,0.0,3.0,285.0
2011-12-01,ALARM CLOCK BAKELIKE ORANGE,36,6,0,0,0,2,0,0,1,0,78.0,11.0,11.0,0.0,0.0,0.0,101.0
2011-12-01,ALARM CLOCK BAKELIKE PINK,78,13,4,0,0,1,0,0,1,0,452.0,73.0,23.0,2.0,0.0,3.0,785.0
2011-12-01,ALARM CLOCK BAKELIKE RED ,122,18,3,0,0,2,0,0,1,0,675.0,106.0,26.0,0.0,0.0,3.0,937.0
2011-12-01,ALPHABET HEARTS STICKER SHEET,4,1,1,0,0,0,0,0,1,0,8.0,4.0,3.0,0.0,0.0,0.0,20.0
2011-12-01,ALPHABET STENCIL CRAFT,51,4,1,0,0,0,0,0,1,0,990.0,33.0,7.0,0.0,0.0,2.0,26.0
2011-12-01,ALUMINIUM STAMPED HEART,18,4,0,0,0,0,0,0,1,0,136.0,17.0,1.0,0.0,0.0,0.0,95.0
2011-12-01,AMBER DROP EARRINGS W LONG BEADS,-6,0,0,0,0,1,1,0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
2011-11-01,AMBER GLASS/SILVER BRACELET,3,0,2,0,0,0,0,1,0,0,3.0,2.0,1.0,0.0,0.0,0.0,2.0
2011-11-01,AMETHYST CHUNKY BEAD BRACELET W STR,4,0,3,0,0,0,0,0,1,0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
2011-12-01,AMETHYST DIAMANTE EXPANDABLE RING,-6,0,0,0,0,1,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
2011-11-01,AMETHYST DROP EARRINGS W LONG BEADS,3,0,3,0,0,0,1,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
2011-12-01,AMETHYST GLASS/SHELL/PEARL NECKLACE,1,0,1,0,0,0,1,0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
2011-12-01,ANGEL DECORATION 3 BUTTONS ,72,3,0,0,0,0,0,0,1,0,911.0,37.0,11.0,0.0,0.0,4.0,604.0
2011-12-01,ANGEL DECORATION PAINTED ZINC ,12,1,1,0,0,0,0,0,1,0,484.0,7.0,18.0,1.0,0.0,0.0,374.0
2011-12-01,ANGEL DECORATION STARS ON DRESS,65,3,0,0,0,0,0,0,1,0,728.0,24.0,10.0,0.0,0.0,2.0,595.0
2011-12-01,ANIMAL STICKERS,24,1,0,0,0,0,1,0,0,0,432.0,9.0,0.0,0.0,0.0,0.0,172.0
2011-12-01,ANT COPPER LIME BOUDICCA BRACELET,1,0,1,0,0,0,0,0,1,0,15.0,1.0,5.0,0.0,0.0,0.0,13.0
2011-12-01,ANT COPPER PINK BOUDICCA BRACELET,1,0,1,0,0,0,0,0,1,0,7.0,1.0,3.0,0.0,0.0,0.0,7.0
2011-12-01,ANT COPPER RED BOUDICCA BRACELET,1,0,1,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
2011-12-01,ANT COPPER TURQ BOUDICCA BRACELET,2,0,1,0,0,0,1,0,0,0,13.0,1.0,5.0,0.0,0.0,0.0,7.0
2011-12-01,ANT WHITE WIRE HEART SPIRAL,0,2,0,0,0,0,1,0,0,0,13.0,4.0,2.0,0.0,0.0,1.0,27.0
2011-12-01,ANTIQUE ALL GLASS CANDLESTICK,27,3,2,0,0,0,0,0,1,0,140.0,16.0,10.0,0.0,0.0,2.0,117.0
2011-12-01,ANTIQUE CREAM CUTLERY CUPBOARD,4,0,2,0,0,0,0,0,1,0,4.0,1.0,2.0,0.0,0.0,0.0,4.0
2011-11-01,ANTIQUE CREAM CUTLERY SHELF ,1,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
2011-12-01,ANTIQUE GLASS DRESSING TABLE POT,93,5,1,0,0,1,0,0,1,0,137.0,16.0,11.0,0.0,0.0,2.0,138.0
2011-11-01,ANTIQUE GLASS HEART DECORATION ,1,0,1,0,0,0,0,0,1,0,3.0,2.0,0.0,0.0,0.0,0.0,9.0
2011-12-01,ANTIQUE GLASS PEDESTAL BOWL,75,5,5,0,0,1,0,0,1,0,123.0,24.0,6.0,0.0,0.0,2.0,70.0
2011-11-01,ANTIQUE HEART SHELF UNIT,40,25,4,0,0,4,0,0,1,0,46.0,26.0,0.0,0.0,0.0,0.0,3.0
2011-12-01,ANTIQUE IVORY WIRE BOWL SMALL,3,1,0,0,0,0,0,0,1,0,9.0,2.0,0.0,0.0,0.0,0.0,5.0
2011-12-01,ANTIQUE SILVER BAUBLE LAMP  ,6,2,0,0,0,0,0,0,1,0,138.0,23.0,3.0,0.0,0.0,2.0,113.0
2011-12-01,ANTIQUE SILVER T-LIGHT GLASS,269,10,3,0,0,1,0,0,0,1,2110.0,104.0,27.0,0.0,0.0,7.0,1560.0
2011-12-01,ANTIQUE SILVER TEA GLASS ENGRAVED,515,11,2,0,0,0,0,0,1,0,837.0,34.0,9.0,0.0,0.0,2.0,597.0
2011-11-01,ANTIQUE SILVER TEA GLASS ETCHED,121,4,1,0,0,0,0,0,1,0,107.0,2.0,3.0,0.0,0.0,1.0,433.0
2011-12-01,ANTIQUE TALL SWIRLGLASS TRINKET POT,10,2,2,0,0,0,0,0,1,0,80.0,16.0,9.0,0.0,0.0,1.0,77.0
2011-12-01,APPLE BATH SPONGE,22,1,3,0,0,0,0,0,1,0,271.0,22.0,13.0,0.0,0.0,4.0,83.0
2011-12-01,APRON APPLE DELIGHT,59,3,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,11.0
2011-12-01,APRON MODERN VINTAGE COTTON,14,1,2,0,0,0,0,0,1,0,19.0,2.0,1.0,0.0,0.0,0.0,20.0
2011-12-01,AREA PATROLLED METAL SIGN,80,7,1,0,0,0,0,0,1,0,357.0,42.0,7.0,0.0,0.0,2.0,422.0
2011-12-01,"ART LIGHTS,FUNK MONKEY",5,3,1,0,0,0,1,0,0,0,62.0,4.0,4.0,0.0,0.0,2.0,49.0
2011-11-01,ASS COLOUR GLOWING TIARAS,15,3,0,0,0,0,1,0,0,0,24.0,4.0,0.0,0.0,0.0,0.0,15.0
2011-12-01,ASS FLORAL PRINT MULTI SCREWDRIVER,86,5,0,0,0,0,0,0,1,0,338.0,34.0,0.0,0.0,0.0,0.0,373.0
2011-11-01,ASS FLORAL PRINT SPIRIT LEVEL ,14,7,0,0,0,0,1,0,0,0,51.0,7.0,0.0,0.0,0.0,0.0,44.0
2011-12-01,ASSORTED BOTTLE TOP  MAGNETS ,54,3,1,0,0,0,0,0,1,0,255.0,14.0,10.0,0.0,0.0,0.0,239.0
2011-11-01,ASSORTED CHEESE FRIDGE MAGNETS,12,1,0,0,0,0,1,0,0,0,42.0,1.0,2.0,0.0,0.0,0.0,62.0
2011-12-01,ASSORTED CIRCULAR MOBILE,49,1,1,0,0,0,1,0,0,0,18.0,2.0,1.0,0.0,0.0,0.0,20.0
2011-12-01,ASSORTED COLOUR BIRD ORNAMENT,712,33,1,1,0,0,0,0,1,0,5129.0,178.0,5.0,0.0,0.0,3.0,2997.0
2011-12-01,ASSORTED COLOUR LIZARD SUCTION HOOK,51,2,0,0,0,1,1,0,0,0,288.0,4.0,0.0,0.0,0.0,7.0,107.0
2011-11-01,ASSORTED COLOUR METAL CAT ,27,5,0,0,0,0,0,0,1,0,9.0,3.0,0.0,0.0,0.0,0.0,8.0
2011-12-01,ASSORTED COLOUR MINI CASES,17,6,0,0,0,0,0,0,1,0,160.0,48.0,1.0,0.0,0.0,2.0,104.0
2011-12-01,ASSORTED COLOUR T-LIGHT HOLDER,36,1,1,0,0,0,0,0,1,0,246.0,15.0,2.0,0.0,0.0,3.0,105.0
2011-12-01,ASSORTED COLOURS SILK FAN,1129,17,4,0,0,0,0,0,1,0,781.0,30.0,14.0,0.0,0.0,0.0,1143.0
2011-11-01,ASSORTED CREEPY CRAWLIES,170,4,2,0,0,1,0,0,1,0,52.0,2.0,0.0,0.0,0.0,3.0,103.0
2011-12-01,ASSORTED EASTER DECORATIONS  BELLS,15,2,0,0,0,0,0,0,1,0,39.0,5.0,1.0,0.0,0.0,0.0,24.0
2011-11-01,ASSORTED EASTER GIFT TAGS,29,3,0,0,0,0,0,0,1,0,30.0,3.0,0.0,0.0,0.0,0.0,118.0
2011-12-01,"ASSORTED FLOWER COLOUR ""LEIS""",480,0,0,1,0,0,1,0,0,0,1069.0,8.0,1.0,0.0,0.0,0.0,944.0
2011-11-01,ASSORTED INCENSE PACK,72,1,0,0,0,0,1,0,0,0,288.0,3.0,0.0,0.0,0.0,1.0,368.0
2011-10-01,ASSORTED LAQUERED INCENSE HOLDERS,5,1,0,0,0,0,0,0,1,0,2.0,0.0,2.0,0.0,0.0,0.0,90.0
2011-12-01,ASSORTED MINI MADRAS NOTEBOOK,24,1,0,0,0,0,1,0,0,0,72.0,2.0,0.0,0.0,0.0,0.0,152.0
2011-12-01,ASSORTED MONKEY SUCTION CUP HOOK,91,2,1,0,0,0,1,0,0,0,55.0,4.0,0.0,0.0,0.0,11.0,63.0
2011-11-01,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,67,7,8,0,0,0,0,0,1,0,190.0,7.0,1.0,1.0,0.0,3.0,61.0
2011-12-01,ASSORTED TUTTI FRUTTI BRACELET,85,1,2,0,0,0,0,0,1,0,408.0,12.0,19.0,0.0,0.0,1.0,333.0
2011-11-01,ASSORTED TUTTI FRUTTI HEART BOX,11,3,0,0,0,0,1,0,0,0,24.0,5.0,0.0,0.0,0.0,0.0,29.0
2011-12-01,ASSORTED TUTTI FRUTTI KEYRING BALL,50,1,2,0,0,0,0,0,1,0,14.0,1.0,2.0,0.0,0.0,0.0,19.0
2011-11-01,ASSORTED TUTTI FRUTTI LARGE PURSE,10,5,0,0,0,0,1,0,0,0,13.0,2.0,0.0,0.0,0.0,0.0,8.0
2011-11-01,ASSORTED TUTTI FRUTTI MIRROR,112,3,0,0,0,0,0,0,1,0,26.0,3.0,0.0,0.0,0.0,0.0,26.0
2011-11-01,ASSORTED TUTTI FRUTTI NOTEBOOK,46,8,0,0,0,0,1,0,0,0,30.0,3.0,0.0,0.0,0.0,0.0,41.0
