YYYYMM,Description,Quantity,0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,Erratic,Intermittent,Lumpy,Smooth,predict_Quantity,real_Quantity
2011-09-01, SET 2 TEA TOWELS I LOVE LONDON ,32,4,3,0,0,0,0,0,1,0,,
2011-10-01, SET 2 TEA TOWELS I LOVE LONDON ,21,1,6,0,0,0,0,0,1,0,,
2011-11-01, SET 2 TEA TOWELS I LOVE LONDON ,37,6,2,0,0,0,0,0,1,0,,
2011-12-01, SET 2 TEA TOWELS I LOVE LONDON ,61,7,0,0,0,0,0,0,1,0,132.0,61.0
2011-01-01, SPACEBOY BABY GIFT SET,7,5,0,0,0,0,0,0,1,0,,
2011-02-01, SPACEBOY BABY GIFT SET,8,4,2,0,0,0,0,0,1,0,,
2011-03-01, SPACEBOY BABY GIFT SET,94,18,7,1,0,0,0,0,1,0,,
2011-04-01, SPACEBOY BABY GIFT SET,35,13,2,0,0,0,0,0,1,0,,
2011-05-01, SPACEBOY BABY GIFT SET,45,14,2,0,0,1,0,0,1,0,,
2011-06-01, SPACEBOY BABY GIFT SET,33,16,2,0,0,0,0,0,1,0,,
2011-07-01, SPACEBOY BABY GIFT SET,22,9,2,0,0,2,0,0,1,0,,
2011-08-01, SPACEBOY BABY GIFT SET,25,9,3,0,0,1,0,0,1,0,,
2011-09-01, SPACEBOY BABY GIFT SET,56,16,8,0,0,2,0,0,1,0,,
2011-10-01, SPACEBOY BABY GIFT SET,89,12,2,0,0,1,0,0,1,0,,
2011-11-01, SPACEBOY BABY GIFT SET,61,12,11,1,0,2,0,0,1,0,,
2011-12-01, SPACEBOY BABY GIFT SET,18,6,1,1,0,0,0,0,1,0,47.0,19.0
2011-01-01, TRELLIS COAT RACK,-1,1,0,0,0,0,0,0,1,0,,
2011-02-01, TRELLIS COAT RACK,8,2,0,0,0,0,0,0,1,0,,
2011-03-01, TRELLIS COAT RACK,1,0,1,0,0,0,0,0,1,0,,
2011-04-01, TRELLIS COAT RACK,5,3,1,0,0,0,0,0,1,0,,
2011-06-01, TRELLIS COAT RACK,7,1,0,0,0,1,0,0,1,0,,
2011-08-01, TRELLIS COAT RACK,10,3,1,0,0,0,0,0,1,0,,
2011-09-01, TRELLIS COAT RACK,107,13,3,0,0,2,0,0,1,0,,
2011-10-01, TRELLIS COAT RACK,58,9,2,0,0,2,0,0,1,0,,
2011-11-01, TRELLIS COAT RACK,24,8,2,0,0,1,0,0,1,0,,
2011-12-01, TRELLIS COAT RACK,7,2,0,0,0,0,0,0,1,0,34.0,7.0
2010-01-01,10 COLOUR SPACEBOY PEN,145,3,1,0,0,0,0,0,1,0,,
2010-02-01,10 COLOUR SPACEBOY PEN,50,4,0,0,0,0,0,0,1,0,,
2010-03-01,10 COLOUR SPACEBOY PEN,34,2,2,0,0,0,0,0,1,0,,
2010-05-01,10 COLOUR SPACEBOY PEN,12,1,0,0,0,0,0,0,1,0,,
2010-06-01,10 COLOUR SPACEBOY PEN,54,1,3,0,0,0,0,0,1,0,,
2010-07-01,10 COLOUR SPACEBOY PEN,29,3,2,0,0,0,0,0,1,0,,
2010-08-01,10 COLOUR SPACEBOY PEN,50,3,0,0,0,0,0,0,1,0,,
2010-09-01,10 COLOUR SPACEBOY PEN,24,1,0,0,0,0,0,0,1,0,,
2010-10-01,10 COLOUR SPACEBOY PEN,5,0,2,0,0,0,0,0,1,0,,
2010-12-01,10 COLOUR SPACEBOY PEN,162,8,3,0,0,0,0,0,1,0,,
2011-01-01,10 COLOUR SPACEBOY PEN,175,16,4,0,0,0,0,0,1,0,,
2011-02-01,10 COLOUR SPACEBOY PEN,227,11,4,0,0,0,0,0,1,0,,
2011-03-01,10 COLOUR SPACEBOY PEN,347,20,1,0,0,1,0,0,1,0,,
2011-04-01,10 COLOUR SPACEBOY PEN,184,16,5,0,0,1,0,0,1,0,,
2011-05-01,10 COLOUR SPACEBOY PEN,393,16,5,0,0,1,0,0,1,0,,
2011-06-01,10 COLOUR SPACEBOY PEN,880,20,5,1,0,2,0,0,1,0,,
2011-07-01,10 COLOUR SPACEBOY PEN,507,15,7,0,0,0,0,0,1,0,,
2011-08-01,10 COLOUR SPACEBOY PEN,319,15,5,0,0,0,0,0,1,0,,
2011-09-01,10 COLOUR SPACEBOY PEN,609,20,7,1,0,2,0,0,1,0,,
2011-10-01,10 COLOUR SPACEBOY PEN,750,21,9,1,0,4,0,0,1,0,,
2011-11-01,10 COLOUR SPACEBOY PEN,1051,33,10,1,0,1,0,0,1,0,,
2011-12-01,10 COLOUR SPACEBOY PEN,385,4,2,1,0,0,0,0,1,0,776.0,385.0
2010-02-01,12 COLOURED PARTY BALLOONS,10,1,0,0,0,0,0,0,1,0,,
2010-03-01,12 COLOURED PARTY BALLOONS,10,0,1,0,0,0,0,0,1,0,,
2010-05-01,12 COLOURED PARTY BALLOONS,6,1,0,0,0,0,0,0,1,0,,
2010-06-01,12 COLOURED PARTY BALLOONS,12,2,0,0,0,0,0,0,1,0,,
2010-09-01,12 COLOURED PARTY BALLOONS,20,1,0,0,0,0,0,0,1,0,,
2010-12-01,12 COLOURED PARTY BALLOONS,4,0,2,0,0,0,0,0,1,0,,
2011-01-01,12 COLOURED PARTY BALLOONS,213,9,2,0,0,0,0,0,1,0,,
2011-02-01,12 COLOURED PARTY BALLOONS,103,7,0,0,0,0,0,0,1,0,,
2011-03-01,12 COLOURED PARTY BALLOONS,132,8,2,0,0,0,0,0,1,0,,
2011-04-01,12 COLOURED PARTY BALLOONS,184,13,3,0,0,0,0,0,1,0,,
2011-05-01,12 COLOURED PARTY BALLOONS,221,13,4,0,0,0,0,0,1,0,,
2011-06-01,12 COLOURED PARTY BALLOONS,165,15,2,0,0,0,0,0,1,0,,
2011-07-01,12 COLOURED PARTY BALLOONS,215,13,1,0,0,1,0,0,1,0,,
2011-08-01,12 COLOURED PARTY BALLOONS,131,9,2,0,0,0,0,0,1,0,,
2011-09-01,12 COLOURED PARTY BALLOONS,247,14,2,0,0,1,0,0,1,0,,
2011-10-01,12 COLOURED PARTY BALLOONS,121,10,1,0,0,0,0,0,1,0,,
2011-11-01,12 COLOURED PARTY BALLOONS,286,21,1,0,0,2,0,0,1,0,,
2011-12-01,12 COLOURED PARTY BALLOONS,55,5,1,0,0,0,0,0,1,0,4.0,55.0
2010-01-01,12 DAISY PEGS IN WOOD BOX,8,5,0,0,0,0,1,0,0,0,,
2010-06-01,12 DAISY PEGS IN WOOD BOX,1,0,1,0,0,0,1,0,0,0,,
2010-10-01,12 DAISY PEGS IN WOOD BOX,1,0,1,0,0,0,1,0,0,0,,
2010-12-01,12 DAISY PEGS IN WOOD BOX,7,3,0,0,0,0,1,0,0,0,,
2011-01-01,12 DAISY PEGS IN WOOD BOX,90,13,1,0,0,1,1,0,0,0,,
2011-02-01,12 DAISY PEGS IN WOOD BOX,2,1,1,0,0,0,1,0,0,0,,
2011-03-01,12 DAISY PEGS IN WOOD BOX,47,8,1,0,0,0,1,0,0,0,,
2011-04-01,12 DAISY PEGS IN WOOD BOX,52,8,4,0,0,0,1,0,0,0,,
2011-05-01,12 DAISY PEGS IN WOOD BOX,8,5,0,0,0,0,1,0,0,0,,
2011-06-01,12 DAISY PEGS IN WOOD BOX,18,3,0,0,0,1,1,0,0,0,,
2011-07-01,12 DAISY PEGS IN WOOD BOX,37,4,3,0,0,1,1,0,0,0,,
2011-08-01,12 DAISY PEGS IN WOOD BOX,30,3,1,0,0,1,1,0,0,0,,
2011-09-01,12 DAISY PEGS IN WOOD BOX,8,4,0,0,0,2,1,0,0,0,,
2011-10-01,12 DAISY PEGS IN WOOD BOX,17,2,1,0,0,0,1,0,0,0,,
2011-11-01,12 DAISY PEGS IN WOOD BOX,10,3,0,0,0,0,1,0,0,0,,
2011-12-01,12 DAISY PEGS IN WOOD BOX,13,1,1,0,0,0,1,0,0,0,26.0,13.0
2010-06-01,12 EGG HOUSE PAINTED WOOD,2,0,1,0,0,0,0,0,1,0,,
2010-07-01,12 EGG HOUSE PAINTED WOOD,1,0,1,0,0,0,0,0,1,0,,
2010-09-01,12 EGG HOUSE PAINTED WOOD,1,0,1,0,0,0,0,0,1,0,,
2010-12-01,12 EGG HOUSE PAINTED WOOD,7,1,5,0,0,0,0,0,1,0,,
2011-01-01,12 EGG HOUSE PAINTED WOOD,19,9,3,0,0,0,0,0,1,0,,
2011-02-01,12 EGG HOUSE PAINTED WOOD,15,8,1,0,0,0,0,0,1,0,,
2011-03-01,12 EGG HOUSE PAINTED WOOD,18,6,6,0,0,1,0,0,1,0,,
2011-04-01,12 EGG HOUSE PAINTED WOOD,7,4,2,0,0,0,0,0,1,0,,
2011-05-01,12 EGG HOUSE PAINTED WOOD,6,3,2,0,0,0,0,0,1,0,,
2011-06-01,12 EGG HOUSE PAINTED WOOD,13,5,3,0,0,1,0,0,1,0,,
2011-07-01,12 EGG HOUSE PAINTED WOOD,9,5,2,0,0,0,0,0,1,0,,
2011-08-01,12 EGG HOUSE PAINTED WOOD,6,1,2,0,0,2,0,0,1,0,,
2011-09-01,12 EGG HOUSE PAINTED WOOD,8,6,1,0,0,1,0,0,1,0,,
2011-10-01,12 EGG HOUSE PAINTED WOOD,14,3,1,0,0,3,0,0,1,0,,
2011-11-01,12 EGG HOUSE PAINTED WOOD,16,2,2,0,0,3,0,0,1,0,,
2011-12-01,12 EGG HOUSE PAINTED WOOD,6,0,2,0,0,1,0,0,1,0,1.0,7.0
2011-07-01,12 HANGING EGGS HAND PAINTED,10,3,0,0,0,0,1,0,0,0,,
2011-11-01,12 HANGING EGGS HAND PAINTED,32,7,0,0,0,0,1,0,0,0,,
2010-01-01,12 IVORY ROSE PEG PLACE SETTINGS,1,0,1,0,0,0,1,0,0,0,,
2010-05-01,12 IVORY ROSE PEG PLACE SETTINGS,7,3,0,0,0,0,1,0,0,0,,
2010-06-01,12 IVORY ROSE PEG PLACE SETTINGS,12,0,0,0,0,1,1,0,0,0,,
2010-10-01,12 IVORY ROSE PEG PLACE SETTINGS,1,1,0,0,0,0,1,0,0,0,,
2010-12-01,12 IVORY ROSE PEG PLACE SETTINGS,1,0,0,0,0,1,1,0,0,0,,
2011-01-01,12 IVORY ROSE PEG PLACE SETTINGS,40,6,5,0,0,0,1,0,0,0,,
2011-02-01,12 IVORY ROSE PEG PLACE SETTINGS,100,7,6,0,0,3,1,0,0,0,,
2011-03-01,12 IVORY ROSE PEG PLACE SETTINGS,191,13,8,0,0,1,1,0,0,0,,
2011-04-01,12 IVORY ROSE PEG PLACE SETTINGS,80,6,6,0,0,1,1,0,0,0,,
2011-05-01,12 IVORY ROSE PEG PLACE SETTINGS,89,8,6,0,0,2,1,0,0,0,,
2011-06-01,12 IVORY ROSE PEG PLACE SETTINGS,109,8,6,0,0,1,1,0,0,0,,
2011-07-01,12 IVORY ROSE PEG PLACE SETTINGS,85,9,7,0,0,2,1,0,0,0,,
2011-08-01,12 IVORY ROSE PEG PLACE SETTINGS,121,5,5,0,0,2,1,0,0,0,,
2011-09-01,12 IVORY ROSE PEG PLACE SETTINGS,35,3,2,0,0,0,1,0,0,0,,
2011-10-01,12 IVORY ROSE PEG PLACE SETTINGS,9,2,2,0,0,0,1,0,0,0,,
2011-11-01,12 IVORY ROSE PEG PLACE SETTINGS,22,3,0,0,0,1,1,0,0,0,,
2011-12-01,12 IVORY ROSE PEG PLACE SETTINGS,65,4,3,0,0,0,1,0,0,0,47.0,65.0
2010-01-01,12 MESSAGE CARDS WITH ENVELOPES,9,1,2,0,0,0,0,0,1,0,,
2010-02-01,12 MESSAGE CARDS WITH ENVELOPES,3,3,0,0,0,0,0,0,1,0,,
2010-03-01,12 MESSAGE CARDS WITH ENVELOPES,4,0,1,0,0,0,0,0,1,0,,
2010-05-01,12 MESSAGE CARDS WITH ENVELOPES,3,2,0,0,0,0,0,0,1,0,,
2010-06-01,12 MESSAGE CARDS WITH ENVELOPES,21,3,3,0,0,0,0,0,1,0,,
2010-07-01,12 MESSAGE CARDS WITH ENVELOPES,1,0,1,0,0,0,0,0,1,0,,
2010-08-01,12 MESSAGE CARDS WITH ENVELOPES,1,0,1,0,0,0,0,0,1,0,,
2010-09-01,12 MESSAGE CARDS WITH ENVELOPES,32,2,1,0,0,0,0,0,1,0,,
2010-10-01,12 MESSAGE CARDS WITH ENVELOPES,4,2,1,0,0,0,0,0,1,0,,
2010-12-01,12 MESSAGE CARDS WITH ENVELOPES,134,2,6,0,0,1,0,0,1,0,,
2011-01-01,12 MESSAGE CARDS WITH ENVELOPES,100,15,6,0,0,0,0,0,1,0,,
2011-02-01,12 MESSAGE CARDS WITH ENVELOPES,161,10,5,0,0,0,0,0,1,0,,
2011-03-01,12 MESSAGE CARDS WITH ENVELOPES,53,8,3,0,0,0,0,0,1,0,,
2011-04-01,12 MESSAGE CARDS WITH ENVELOPES,167,13,2,0,0,0,0,0,1,0,,
2011-05-01,12 MESSAGE CARDS WITH ENVELOPES,164,16,4,0,0,0,0,0,1,0,,
2011-06-01,12 MESSAGE CARDS WITH ENVELOPES,98,20,6,0,0,1,0,0,1,0,,
2011-07-01,12 MESSAGE CARDS WITH ENVELOPES,219,14,6,0,0,4,0,0,1,0,,
2011-08-01,12 MESSAGE CARDS WITH ENVELOPES,113,14,3,0,0,0,0,0,1,0,,
2011-09-01,12 MESSAGE CARDS WITH ENVELOPES,86,9,3,0,0,1,0,0,1,0,,
2011-10-01,12 MESSAGE CARDS WITH ENVELOPES,98,20,4,0,0,0,0,0,1,0,,
2011-11-01,12 MESSAGE CARDS WITH ENVELOPES,213,33,4,0,0,1,0,0,1,0,,
2011-12-01,12 MESSAGE CARDS WITH ENVELOPES,55,5,3,0,0,0,0,0,1,0,1.0,56.0
2010-01-01,12 PENCIL SMALL TUBE WOODLAND,18,1,2,0,0,0,0,0,1,0,,
2010-02-01,12 PENCIL SMALL TUBE WOODLAND,90,3,0,0,0,0,0,0,1,0,,
2010-03-01,12 PENCIL SMALL TUBE WOODLAND,2,0,1,0,0,0,0,0,1,0,,
2010-05-01,12 PENCIL SMALL TUBE WOODLAND,11,3,0,0,0,0,0,0,1,0,,
2010-06-01,12 PENCIL SMALL TUBE WOODLAND,16,2,3,0,0,0,0,0,1,0,,
2010-07-01,12 PENCIL SMALL TUBE WOODLAND,8,1,1,0,0,0,0,0,1,0,,
2010-08-01,12 PENCIL SMALL TUBE WOODLAND,11,2,1,0,0,0,0,0,1,0,,
2010-09-01,12 PENCIL SMALL TUBE WOODLAND,26,2,1,0,0,0,0,0,1,0,,
2010-10-01,12 PENCIL SMALL TUBE WOODLAND,6,1,2,0,0,0,0,0,1,0,,
2010-12-01,12 PENCIL SMALL TUBE WOODLAND,130,13,5,0,0,0,0,0,1,0,,
2011-01-01,12 PENCIL SMALL TUBE WOODLAND,430,21,5,0,0,2,0,0,1,0,,
2011-02-01,12 PENCIL SMALL TUBE WOODLAND,663,10,5,0,0,2,0,0,1,0,,
2011-03-01,12 PENCIL SMALL TUBE WOODLAND,162,15,7,0,0,0,0,0,1,0,,
2011-04-01,12 PENCIL SMALL TUBE WOODLAND,131,13,5,0,0,0,0,0,1,0,,
2011-05-01,12 PENCIL SMALL TUBE WOODLAND,138,17,2,0,0,1,0,0,1,0,,
2011-06-01,12 PENCIL SMALL TUBE WOODLAND,135,22,2,0,0,0,0,0,1,0,,
2011-07-01,12 PENCIL SMALL TUBE WOODLAND,323,19,2,0,0,0,0,0,1,0,,
2011-08-01,12 PENCIL SMALL TUBE WOODLAND,187,14,4,0,0,1,0,0,1,0,,
2011-09-01,12 PENCIL SMALL TUBE WOODLAND,130,11,3,0,0,0,0,0,1,0,,
2011-10-01,12 PENCIL SMALL TUBE WOODLAND,497,39,7,0,0,4,0,0,1,0,,
2011-11-01,12 PENCIL SMALL TUBE WOODLAND,1307,63,20,1,0,5,0,0,1,0,,
2011-12-01,12 PENCIL SMALL TUBE WOODLAND,81,5,1,0,0,0,0,0,1,0,2.0,81.0
2010-01-01,12 PENCILS SMALL TUBE RED RETROSPOT,19,0,2,0,0,0,0,0,1,0,,
2010-02-01,12 PENCILS SMALL TUBE RED RETROSPOT,121,7,0,0,0,0,0,0,1,0,,
2010-03-01,12 PENCILS SMALL TUBE RED RETROSPOT,30,1,2,0,0,0,0,0,1,0,,
2010-05-01,12 PENCILS SMALL TUBE RED RETROSPOT,150,4,0,0,0,0,0,0,1,0,,
2010-06-01,12 PENCILS SMALL TUBE RED RETROSPOT,133,8,3,0,0,1,0,0,1,0,,
2010-07-01,12 PENCILS SMALL TUBE RED RETROSPOT,8,1,2,0,0,0,0,0,1,0,,
2010-08-01,12 PENCILS SMALL TUBE RED RETROSPOT,75,2,1,0,0,0,0,0,1,0,,
2010-09-01,12 PENCILS SMALL TUBE RED RETROSPOT,33,1,1,0,0,0,0,0,1,0,,
2010-10-01,12 PENCILS SMALL TUBE RED RETROSPOT,6,1,2,0,0,0,0,0,1,0,,
2010-12-01,12 PENCILS SMALL TUBE RED RETROSPOT,143,9,9,0,0,1,0,0,1,0,,
