,YYYYMM,Description,Quantity,Demand Pattern
60,2010-03, OVAL WALL MIRROR DIAMANTE ,1,Lumpy
61,2010-06, OVAL WALL MIRROR DIAMANTE ,1,Lumpy
62,2010-08, OVAL WALL MIRROR DIAMANTE ,1,Lumpy
63,2010-09, OVAL WALL MIRROR DIAMANTE ,3,Lumpy
64,2010-12, OVAL WALL MIRROR DIAMANTE ,16,Lumpy
65,2011-01, OVAL WALL MIRROR DIAMANTE ,26,Lumpy
66,2011-02, OVAL WALL MIRROR DIAMANTE ,15,Lumpy
67,2011-03, OVAL WALL MIRROR DIAMANTE ,13,Lumpy
68,2011-04, OVAL WALL MIRROR DIAMANTE ,48,Lumpy
69,2011-05, OVAL WALL MIRROR DIAMANTE ,17,Lumpy
70,2011-06, OVAL WALL MIRROR DIAMANTE ,15,Lumpy
71,2011-07, OVAL WALL MIRROR DIAMANTE ,16,Lumpy
72,2011-08, OVAL WALL MIRROR DIAMANTE ,5,Lumpy
73,2011-09, OVAL WALL MIRROR DIAMANTE ,14,Lumpy
74,2011-10, OVAL WALL MIRROR DIAMANTE ,16,Lumpy
75,2011-11, OVAL WALL MIRROR DIAMANTE ,24,Lumpy
76,2011-12, OVAL WALL MIRROR DIAMANTE ,2,Lumpy
77,2011-01, RED SPOT GIFT BAG LARGE,44,Lumpy
78,2011-02, RED SPOT GIFT BAG LARGE,46,Lumpy
79,2011-03, RED SPOT GIFT BAG LARGE,84,Lumpy
80,2011-04, RED SPOT GIFT BAG LARGE,28,Lumpy
81,2011-05, RED SPOT GIFT BAG LARGE,462,Lumpy
82,2011-06, RED SPOT GIFT BAG LARGE,6,Lumpy
83,2011-07, RED SPOT GIFT BAG LARGE,30,Lumpy
84,2011-08, RED SPOT GIFT BAG LARGE,72,Lumpy
85,2011-09, RED SPOT GIFT BAG LARGE,326,Lumpy
86,2011-10, RED SPOT GIFT BAG LARGE,341,Lumpy
87,2011-11, RED SPOT GIFT BAG LARGE,261,Lumpy
88,2011-12, RED SPOT GIFT BAG LARGE,27,Lumpy
89,2010-01, SET 2 TEA TOWELS I LOVE LONDON ,73,Lumpy
90,2010-02, SET 2 TEA TOWELS I LOVE LONDON ,2,Lumpy
91,2010-03, SET 2 TEA TOWELS I LOVE LONDON ,8,Lumpy
92,2010-05, SET 2 TEA TOWELS I LOVE LONDON ,22,Lumpy
93,2010-06, SET 2 TEA TOWELS I LOVE LONDON ,36,Lumpy
94,2010-07, SET 2 TEA TOWELS I LOVE LONDON ,25,Lumpy
95,2010-08, SET 2 TEA TOWELS I LOVE LONDON ,39,Lumpy
96,2010-09, SET 2 TEA TOWELS I LOVE LONDON ,19,Lumpy
97,2010-10, SET 2 TEA TOWELS I LOVE LONDON ,7,Lumpy
98,2010-12, SET 2 TEA TOWELS I LOVE LONDON ,105,Lumpy
99,2011-01, SET 2 TEA TOWELS I LOVE LONDON ,406,Lumpy
100,2011-02, SET 2 TEA TOWELS I LOVE LONDON ,123,Lumpy
101,2011-03, SET 2 TEA TOWELS I LOVE LONDON ,1167,Lumpy
102,2011-04, SET 2 TEA TOWELS I LOVE LONDON ,289,Lumpy
103,2011-05, SET 2 TEA TOWELS I LOVE LONDON ,218,Lumpy
104,2011-06, SET 2 TEA TOWELS I LOVE LONDON ,37,Lumpy
105,2011-07, SET 2 TEA TOWELS I LOVE LONDON ,61,Lumpy
106,2011-08, SET 2 TEA TOWELS I LOVE LONDON ,20,Lumpy
107,2011-09, SET 2 TEA TOWELS I LOVE LONDON ,32,Lumpy
108,2011-10, SET 2 TEA TOWELS I LOVE LONDON ,21,Lumpy
109,2011-11, SET 2 TEA TOWELS I LOVE LONDON ,37,Lumpy
110,2011-12, SET 2 TEA TOWELS I LOVE LONDON ,61,Lumpy
111,2011-01, SPACEBOY BABY GIFT SET,7,Lumpy
112,2011-02, SPACEBOY BABY GIFT SET,8,Lumpy
113,2011-03, SPACEBOY BABY GIFT SET,94,Lumpy
114,2011-04, SPACEBOY BABY GIFT SET,35,Lumpy
115,2011-05, SPACEBOY BABY GIFT SET,45,Lumpy
116,2011-06, SPACEBOY BABY GIFT SET,33,Lumpy
117,2011-07, SPACEBOY BABY GIFT SET,22,Lumpy
118,2011-08, SPACEBOY BABY GIFT SET,25,Lumpy
119,2011-09, SPACEBOY BABY GIFT SET,56,Lumpy
120,2011-10, SPACEBOY BABY GIFT SET,89,Lumpy
121,2011-11, SPACEBOY BABY GIFT SET,61,Lumpy
122,2011-12, SPACEBOY BABY GIFT SET,18,Lumpy
123,2011-06, TOADSTOOL BEDSIDE LIGHT ,2,
124,2011-01, TRELLIS COAT RACK,-1,Lumpy
125,2011-02, TRELLIS COAT RACK,8,Lumpy
126,2011-03, TRELLIS COAT RACK,1,Lumpy
127,2011-04, TRELLIS COAT RACK,5,Lumpy
128,2011-06, TRELLIS COAT RACK,7,Lumpy
129,2011-08, TRELLIS COAT RACK,10,Lumpy
130,2011-09, TRELLIS COAT RACK,107,Lumpy
131,2011-10, TRELLIS COAT RACK,58,Lumpy
132,2011-11, TRELLIS COAT RACK,24,Lumpy
133,2011-12, TRELLIS COAT RACK,7,Lumpy
134,2010-09,*Boombox Ipod Classic,1,
135,2010-12,*USB Office Mirror Ball,2,
136,2010-01,10 COLOUR SPACEBOY PEN,145,Lumpy
137,2010-02,10 COLOUR SPACEBOY PEN,50,Lumpy
138,2010-03,10 COLOUR SPACEBOY PEN,34,Lumpy
139,2010-05,10 COLOUR SPACEBOY PEN,12,Lumpy
140,2010-06,10 COLOUR SPACEBOY PEN,54,Lumpy
141,2010-07,10 COLOUR SPACEBOY PEN,29,Lumpy
142,2010-08,10 COLOUR SPACEBOY PEN,50,Lumpy
143,2010-09,10 COLOUR SPACEBOY PEN,24,Lumpy
144,2010-10,10 COLOUR SPACEBOY PEN,5,Lumpy
145,2010-12,10 COLOUR SPACEBOY PEN,162,Lumpy
146,2011-01,10 COLOUR SPACEBOY PEN,175,Lumpy
147,2011-02,10 COLOUR SPACEBOY PEN,227,Lumpy
148,2011-03,10 COLOUR SPACEBOY PEN,347,Lumpy
149,2011-04,10 COLOUR SPACEBOY PEN,184,Lumpy
150,2011-05,10 COLOUR SPACEBOY PEN,393,Lumpy
151,2011-06,10 COLOUR SPACEBOY PEN,880,Lumpy
152,2011-07,10 COLOUR SPACEBOY PEN,507,Lumpy
153,2011-08,10 COLOUR SPACEBOY PEN,319,Lumpy
154,2011-09,10 COLOUR SPACEBOY PEN,609,Lumpy
155,2011-10,10 COLOUR SPACEBOY PEN,750,Lumpy
156,2011-11,10 COLOUR SPACEBOY PEN,1051,Lumpy
157,2011-12,10 COLOUR SPACEBOY PEN,385,Lumpy
158,2010-02,12 COLOURED PARTY BALLOONS,10,Lumpy
159,2010-03,12 COLOURED PARTY BALLOONS,10,Lumpy
160,2010-05,12 COLOURED PARTY BALLOONS,6,Lumpy
161,2010-06,12 COLOURED PARTY BALLOONS,12,Lumpy
162,2010-09,12 COLOURED PARTY BALLOONS,20,Lumpy
163,2010-12,12 COLOURED PARTY BALLOONS,4,Lumpy
164,2011-01,12 COLOURED PARTY BALLOONS,213,Lumpy
165,2011-02,12 COLOURED PARTY BALLOONS,103,Lumpy
166,2011-03,12 COLOURED PARTY BALLOONS,132,Lumpy
167,2011-04,12 COLOURED PARTY BALLOONS,184,Lumpy
168,2011-05,12 COLOURED PARTY BALLOONS,221,Lumpy
169,2011-06,12 COLOURED PARTY BALLOONS,165,Lumpy
170,2011-07,12 COLOURED PARTY BALLOONS,215,Lumpy
171,2011-08,12 COLOURED PARTY BALLOONS,131,Lumpy
172,2011-09,12 COLOURED PARTY BALLOONS,247,Lumpy
173,2011-10,12 COLOURED PARTY BALLOONS,121,Lumpy
174,2011-11,12 COLOURED PARTY BALLOONS,286,Lumpy
175,2011-12,12 COLOURED PARTY BALLOONS,55,Lumpy
176,2010-01,12 DAISY PEGS IN WOOD BOX,8,Erratic
177,2010-06,12 DAISY PEGS IN WOOD BOX,1,Erratic
178,2010-10,12 DAISY PEGS IN WOOD BOX,1,Erratic
179,2010-12,12 DAISY PEGS IN WOOD BOX,7,Erratic
180,2011-01,12 DAISY PEGS IN WOOD BOX,90,Erratic
181,2011-02,12 DAISY PEGS IN WOOD BOX,2,Erratic
182,2011-03,12 DAISY PEGS IN WOOD BOX,47,Erratic
183,2011-04,12 DAISY PEGS IN WOOD BOX,52,Erratic
184,2011-05,12 DAISY PEGS IN WOOD BOX,8,Erratic
185,2011-06,12 DAISY PEGS IN WOOD BOX,18,Erratic
186,2011-07,12 DAISY PEGS IN WOOD BOX,37,Erratic
187,2011-08,12 DAISY PEGS IN WOOD BOX,30,Erratic
188,2011-09,12 DAISY PEGS IN WOOD BOX,8,Erratic
189,2011-10,12 DAISY PEGS IN WOOD BOX,17,Erratic
190,2011-11,12 DAISY PEGS IN WOOD BOX,10,Erratic
191,2011-12,12 DAISY PEGS IN WOOD BOX,13,Erratic
192,2010-06,12 EGG HOUSE PAINTED WOOD,2,Lumpy
193,2010-07,12 EGG HOUSE PAINTED WOOD,1,Lumpy
194,2010-09,12 EGG HOUSE PAINTED WOOD,1,Lumpy
195,2010-12,12 EGG HOUSE PAINTED WOOD,7,Lumpy
196,2011-01,12 EGG HOUSE PAINTED WOOD,19,Lumpy
197,2011-02,12 EGG HOUSE PAINTED WOOD,15,Lumpy
198,2011-03,12 EGG HOUSE PAINTED WOOD,18,Lumpy
199,2011-04,12 EGG HOUSE PAINTED WOOD,7,Lumpy
200,2011-05,12 EGG HOUSE PAINTED WOOD,6,Lumpy
201,2011-06,12 EGG HOUSE PAINTED WOOD,13,Lumpy
202,2011-07,12 EGG HOUSE PAINTED WOOD,9,Lumpy
203,2011-08,12 EGG HOUSE PAINTED WOOD,6,Lumpy
204,2011-09,12 EGG HOUSE PAINTED WOOD,8,Lumpy
205,2011-10,12 EGG HOUSE PAINTED WOOD,14,Lumpy
206,2011-11,12 EGG HOUSE PAINTED WOOD,16,Lumpy
207,2011-12,12 EGG HOUSE PAINTED WOOD,6,Lumpy
208,2011-07,12 HANGING EGGS HAND PAINTED,10,Erratic
209,2011-11,12 HANGING EGGS HAND PAINTED,32,Erratic
210,2010-01,12 IVORY ROSE PEG PLACE SETTINGS,1,Erratic
211,2010-05,12 IVORY ROSE PEG PLACE SETTINGS,7,Erratic
212,2010-06,12 IVORY ROSE PEG PLACE SETTINGS,12,Erratic
213,2010-10,12 IVORY ROSE PEG PLACE SETTINGS,1,Erratic
214,2010-12,12 IVORY ROSE PEG PLACE SETTINGS,1,Erratic
215,2011-01,12 IVORY ROSE PEG PLACE SETTINGS,40,Erratic
216,2011-02,12 IVORY ROSE PEG PLACE SETTINGS,100,Erratic
217,2011-03,12 IVORY ROSE PEG PLACE SETTINGS,191,Erratic
218,2011-04,12 IVORY ROSE PEG PLACE SETTINGS,80,Erratic
219,2011-05,12 IVORY ROSE PEG PLACE SETTINGS,89,Erratic
220,2011-06,12 IVORY ROSE PEG PLACE SETTINGS,109,Erratic
221,2011-07,12 IVORY ROSE PEG PLACE SETTINGS,85,Erratic
222,2011-08,12 IVORY ROSE PEG PLACE SETTINGS,121,Erratic
223,2011-09,12 IVORY ROSE PEG PLACE SETTINGS,35,Erratic
224,2011-10,12 IVORY ROSE PEG PLACE SETTINGS,9,Erratic
225,2011-11,12 IVORY ROSE PEG PLACE SETTINGS,22,Erratic
226,2011-12,12 IVORY ROSE PEG PLACE SETTINGS,65,Erratic
227,2010-01,12 MESSAGE CARDS WITH ENVELOPES,9,Lumpy
228,2010-02,12 MESSAGE CARDS WITH ENVELOPES,3,Lumpy
229,2010-03,12 MESSAGE CARDS WITH ENVELOPES,4,Lumpy
230,2010-05,12 MESSAGE CARDS WITH ENVELOPES,3,Lumpy
231,2010-06,12 MESSAGE CARDS WITH ENVELOPES,21,Lumpy
232,2010-07,12 MESSAGE CARDS WITH ENVELOPES,1,Lumpy
233,2010-08,12 MESSAGE CARDS WITH ENVELOPES,1,Lumpy
234,2010-09,12 MESSAGE CARDS WITH ENVELOPES,32,Lumpy
235,2010-10,12 MESSAGE CARDS WITH ENVELOPES,4,Lumpy
236,2010-12,12 MESSAGE CARDS WITH ENVELOPES,134,Lumpy
237,2011-01,12 MESSAGE CARDS WITH ENVELOPES,100,Lumpy
238,2011-02,12 MESSAGE CARDS WITH ENVELOPES,161,Lumpy
239,2011-03,12 MESSAGE CARDS WITH ENVELOPES,53,Lumpy
240,2011-04,12 MESSAGE CARDS WITH ENVELOPES,167,Lumpy
241,2011-05,12 MESSAGE CARDS WITH ENVELOPES,164,Lumpy
242,2011-06,12 MESSAGE CARDS WITH ENVELOPES,98,Lumpy
243,2011-07,12 MESSAGE CARDS WITH ENVELOPES,219,Lumpy
244,2011-08,12 MESSAGE CARDS WITH ENVELOPES,113,Lumpy
245,2011-09,12 MESSAGE CARDS WITH ENVELOPES,86,Lumpy
246,2011-10,12 MESSAGE CARDS WITH ENVELOPES,98,Lumpy
247,2011-11,12 MESSAGE CARDS WITH ENVELOPES,213,Lumpy
248,2011-12,12 MESSAGE CARDS WITH ENVELOPES,55,Lumpy
249,2010-01,12 PENCIL SMALL TUBE WOODLAND,18,Lumpy
250,2010-02,12 PENCIL SMALL TUBE WOODLAND,90,Lumpy
251,2010-03,12 PENCIL SMALL TUBE WOODLAND,2,Lumpy
252,2010-05,12 PENCIL SMALL TUBE WOODLAND,11,Lumpy
253,2010-06,12 PENCIL SMALL TUBE WOODLAND,16,Lumpy
254,2010-07,12 PENCIL SMALL TUBE WOODLAND,8,Lumpy
255,2010-08,12 PENCIL SMALL TUBE WOODLAND,11,Lumpy
256,2010-09,12 PENCIL SMALL TUBE WOODLAND,26,Lumpy
257,2010-10,12 PENCIL SMALL TUBE WOODLAND,6,Lumpy
258,2010-12,12 PENCIL SMALL TUBE WOODLAND,130,Lumpy
259,2011-01,12 PENCIL SMALL TUBE WOODLAND,430,Lumpy
260,2011-02,12 PENCIL SMALL TUBE WOODLAND,663,Lumpy
261,2011-03,12 PENCIL SMALL TUBE WOODLAND,162,Lumpy
262,2011-04,12 PENCIL SMALL TUBE WOODLAND,131,Lumpy
263,2011-05,12 PENCIL SMALL TUBE WOODLAND,138,Lumpy
264,2011-06,12 PENCIL SMALL TUBE WOODLAND,135,Lumpy
265,2011-07,12 PENCIL SMALL TUBE WOODLAND,323,Lumpy
266,2011-08,12 PENCIL SMALL TUBE WOODLAND,187,Lumpy
267,2011-09,12 PENCIL SMALL TUBE WOODLAND,130,Lumpy
268,2011-10,12 PENCIL SMALL TUBE WOODLAND,497,Lumpy
269,2011-11,12 PENCIL SMALL TUBE WOODLAND,1307,Lumpy
270,2011-12,12 PENCIL SMALL TUBE WOODLAND,81,Lumpy
271,2010-01,12 PENCILS SMALL TUBE RED RETROSPOT,19,Lumpy
272,2010-02,12 PENCILS SMALL TUBE RED RETROSPOT,121,Lumpy
273,2010-03,12 PENCILS SMALL TUBE RED RETROSPOT,30,Lumpy
274,2010-05,12 PENCILS SMALL TUBE RED RETROSPOT,150,Lumpy
275,2010-06,12 PENCILS SMALL TUBE RED RETROSPOT,133,Lumpy
276,2010-07,12 PENCILS SMALL TUBE RED RETROSPOT,8,Lumpy
277,2010-08,12 PENCILS SMALL TUBE RED RETROSPOT,75,Lumpy
278,2010-09,12 PENCILS SMALL TUBE RED RETROSPOT,33,Lumpy
279,2010-10,12 PENCILS SMALL TUBE RED RETROSPOT,6,Lumpy
280,2010-12,12 PENCILS SMALL TUBE RED RETROSPOT,143,Lumpy
281,2011-01,12 PENCILS SMALL TUBE RED RETROSPOT,330,Lumpy
282,2011-02,12 PENCILS SMALL TUBE RED RETROSPOT,446,Lumpy
283,2011-03,12 PENCILS SMALL TUBE RED RETROSPOT,1569,Lumpy
284,2011-04,12 PENCILS SMALL TUBE RED RETROSPOT,344,Lumpy
285,2011-05,12 PENCILS SMALL TUBE RED RETROSPOT,289,Lumpy
286,2011-06,12 PENCILS SMALL TUBE RED RETROSPOT,176,Lumpy
287,2011-07,12 PENCILS SMALL TUBE RED RETROSPOT,240,Lumpy
288,2011-08,12 PENCILS SMALL TUBE RED RETROSPOT,199,Lumpy
289,2011-09,12 PENCILS SMALL TUBE RED RETROSPOT,374,Lumpy
290,2011-10,12 PENCILS SMALL TUBE RED RETROSPOT,768,Lumpy
291,2011-11,12 PENCILS SMALL TUBE RED RETROSPOT,1015,Lumpy
292,2011-12,12 PENCILS SMALL TUBE RED RETROSPOT,52,Lumpy
293,2010-01,12 PENCILS SMALL TUBE SKULL,15,Lumpy
294,2010-02,12 PENCILS SMALL TUBE SKULL,110,Lumpy
295,2010-03,12 PENCILS SMALL TUBE SKULL,1,Lumpy
296,2010-05,12 PENCILS SMALL TUBE SKULL,61,Lumpy
297,2010-06,12 PENCILS SMALL TUBE SKULL,32,Lumpy
298,2010-07,12 PENCILS SMALL TUBE SKULL,2,Lumpy
299,2010-08,12 PENCILS SMALL TUBE SKULL,2,Lumpy
300,2010-09,12 PENCILS SMALL TUBE SKULL,52,Lumpy
301,2010-10,12 PENCILS SMALL TUBE SKULL,8,Lumpy
302,2010-12,12 PENCILS SMALL TUBE SKULL,80,Lumpy
303,2011-01,12 PENCILS SMALL TUBE SKULL,230,Lumpy
304,2011-02,12 PENCILS SMALL TUBE SKULL,264,Lumpy
305,2011-03,12 PENCILS SMALL TUBE SKULL,849,Lumpy
306,2011-04,12 PENCILS SMALL TUBE SKULL,912,Lumpy
307,2011-05,12 PENCILS SMALL TUBE SKULL,398,Lumpy
308,2011-06,12 PENCILS SMALL TUBE SKULL,700,Lumpy
309,2011-07,12 PENCILS SMALL TUBE SKULL,562,Lumpy
310,2011-08,12 PENCILS SMALL TUBE SKULL,-114,Lumpy
311,2011-09,12 PENCILS SMALL TUBE SKULL,768,Lumpy
312,2011-10,12 PENCILS SMALL TUBE SKULL,717,Lumpy
313,2011-11,12 PENCILS SMALL TUBE SKULL,703,Lumpy
314,2011-12,12 PENCILS SMALL TUBE SKULL,65,Lumpy
315,2010-02,12 PENCILS TALL TUBE POSY,7,Erratic
316,2010-06,12 PENCILS TALL TUBE POSY,1,Erratic
317,2010-12,12 PENCILS TALL TUBE POSY,9,Erratic
318,2011-01,12 PENCILS TALL TUBE POSY,348,Erratic
319,2011-02,12 PENCILS TALL TUBE POSY,49,Erratic
320,2011-03,12 PENCILS TALL TUBE POSY,61,Erratic
321,2011-04,12 PENCILS TALL TUBE POSY,65,Erratic
322,2011-05,12 PENCILS TALL TUBE POSY,64,Erratic
323,2011-06,12 PENCILS TALL TUBE POSY,791,Erratic
324,2011-07,12 PENCILS TALL TUBE POSY,826,Erratic
325,2011-08,12 PENCILS TALL TUBE POSY,574,Erratic
326,2011-09,12 PENCILS TALL TUBE POSY,553,Erratic
327,2011-10,12 PENCILS TALL TUBE POSY,65,Erratic
328,2011-11,12 PENCILS TALL TUBE POSY,224,Erratic
329,2011-12,12 PENCILS TALL TUBE POSY,151,Erratic
330,2010-02,12 PENCILS TALL TUBE RED RETROSPOT,18,Lumpy
331,2010-03,12 PENCILS TALL TUBE RED RETROSPOT,12,Lumpy
332,2010-05,12 PENCILS TALL TUBE RED RETROSPOT,1,Lumpy
333,2010-06,12 PENCILS TALL TUBE RED RETROSPOT,2,Lumpy
334,2010-07,12 PENCILS TALL TUBE RED RETROSPOT,12,Lumpy
335,2010-09,12 PENCILS TALL TUBE RED RETROSPOT,2,Lumpy
336,2010-12,12 PENCILS TALL TUBE RED RETROSPOT,101,Lumpy
337,2011-01,12 PENCILS TALL TUBE RED RETROSPOT,74,Lumpy
338,2011-02,12 PENCILS TALL TUBE RED RETROSPOT,60,Lumpy
339,2011-03,12 PENCILS TALL TUBE RED RETROSPOT,178,Lumpy
340,2011-04,12 PENCILS TALL TUBE RED RETROSPOT,267,Lumpy
341,2011-05,12 PENCILS TALL TUBE RED RETROSPOT,148,Lumpy
342,2011-06,12 PENCILS TALL TUBE RED RETROSPOT,152,Lumpy
343,2011-07,12 PENCILS TALL TUBE RED RETROSPOT,275,Lumpy
344,2011-08,12 PENCILS TALL TUBE RED RETROSPOT,267,Lumpy
345,2011-09,12 PENCILS TALL TUBE RED RETROSPOT,294,Lumpy
346,2011-10,12 PENCILS TALL TUBE RED RETROSPOT,234,Lumpy
347,2011-11,12 PENCILS TALL TUBE RED RETROSPOT,587,Lumpy
348,2011-12,12 PENCILS TALL TUBE RED RETROSPOT,55,Lumpy
349,2010-01,12 PENCILS TALL TUBE SKULLS,12,Lumpy
350,2010-02,12 PENCILS TALL TUBE SKULLS,14,Lumpy
351,2010-03,12 PENCILS TALL TUBE SKULLS,13,Lumpy
352,2010-05,12 PENCILS TALL TUBE SKULLS,6,Lumpy
353,2010-06,12 PENCILS TALL TUBE SKULLS,3,Lumpy
354,2010-07,12 PENCILS TALL TUBE SKULLS,15,Lumpy
355,2010-09,12 PENCILS TALL TUBE SKULLS,2,Lumpy
356,2010-12,12 PENCILS TALL TUBE SKULLS,78,Lumpy
357,2011-01,12 PENCILS TALL TUBE SKULLS,56,Lumpy
358,2011-02,12 PENCILS TALL TUBE SKULLS,38,Lumpy
359,2011-03,12 PENCILS TALL TUBE SKULLS,126,Lumpy
360,2011-04,12 PENCILS TALL TUBE SKULLS,149,Lumpy
361,2011-05,12 PENCILS TALL TUBE SKULLS,145,Lumpy
362,2011-06,12 PENCILS TALL TUBE SKULLS,97,Lumpy
363,2011-07,12 PENCILS TALL TUBE SKULLS,90,Lumpy
364,2011-08,12 PENCILS TALL TUBE SKULLS,265,Lumpy
365,2011-09,12 PENCILS TALL TUBE SKULLS,220,Lumpy
366,2011-10,12 PENCILS TALL TUBE SKULLS,257,Lumpy
367,2011-11,12 PENCILS TALL TUBE SKULLS,525,Lumpy
368,2011-12,12 PENCILS TALL TUBE SKULLS,41,Lumpy
369,2010-01,12 PENCILS TALL TUBE WOODLAND,1,Lumpy
370,2010-02,12 PENCILS TALL TUBE WOODLAND,8,Lumpy
371,2010-03,12 PENCILS TALL TUBE WOODLAND,13,Lumpy
372,2010-05,12 PENCILS TALL TUBE WOODLAND,4,Lumpy
373,2010-06,12 PENCILS TALL TUBE WOODLAND,1,Lumpy
374,2010-07,12 PENCILS TALL TUBE WOODLAND,1,Lumpy
375,2010-08,12 PENCILS TALL TUBE WOODLAND,12,Lumpy
376,2010-09,12 PENCILS TALL TUBE WOODLAND,15,Lumpy
377,2010-10,12 PENCILS TALL TUBE WOODLAND,2,Lumpy
378,2010-12,12 PENCILS TALL TUBE WOODLAND,50,Lumpy
379,2011-01,12 PENCILS TALL TUBE WOODLAND,50,Lumpy
380,2011-02,12 PENCILS TALL TUBE WOODLAND,78,Lumpy
381,2011-03,12 PENCILS TALL TUBE WOODLAND,104,Lumpy
382,2011-04,12 PENCILS TALL TUBE WOODLAND,153,Lumpy
383,2011-05,12 PENCILS TALL TUBE WOODLAND,250,Lumpy
384,2011-06,12 PENCILS TALL TUBE WOODLAND,63,Lumpy
385,2011-07,12 PENCILS TALL TUBE WOODLAND,163,Lumpy
386,2011-08,12 PENCILS TALL TUBE WOODLAND,251,Lumpy
387,2011-09,12 PENCILS TALL TUBE WOODLAND,257,Lumpy
388,2011-10,12 PENCILS TALL TUBE WOODLAND,121,Lumpy
389,2011-11,12 PENCILS TALL TUBE WOODLAND,346,Lumpy
390,2011-12,12 PENCILS TALL TUBE WOODLAND,14,Lumpy
391,2011-01,12 PINK HEN+CHICKS IN BASKET,13,Erratic
392,2011-02,12 PINK HEN+CHICKS IN BASKET,1,Erratic
393,2011-03,12 PINK HEN+CHICKS IN BASKET,6,Erratic
