,YYYYMM,Description,Quantity,Demand Pattern,0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,product_cluster
59,201112, NINE DRAWER OFFICE TIDY,1,Lumpy,1,0,0,0,0,0
60,201003, OVAL WALL MIRROR DIAMANTE ,1,Lumpy,0,1,0,0,0,0
61,201006, OVAL WALL MIRROR DIAMANTE ,1,Lumpy,0,1,0,0,0,0
62,201008, OVAL WALL MIRROR DIAMANTE ,1,Lumpy,1,0,0,0,0,0
63,201009, OVAL WALL MIRROR DIAMANTE ,3,Lumpy,0,3,0,0,0,0
64,201012, OVAL WALL MIRROR DIAMANTE ,16,Lumpy,8,8,0,0,0,0
65,201101, OVAL WALL MIRROR DIAMANTE ,26,Lumpy,10,9,0,0,7,0
66,201102, OVAL WALL MIRROR DIAMANTE ,15,Lumpy,5,10,0,0,0,0
67,201103, OVAL WALL MIRROR DIAMANTE ,13,Lumpy,2,11,0,0,0,0
68,201104, OVAL WALL MIRROR DIAMANTE ,48,Lumpy,11,13,0,0,24,0
69,201105, OVAL WALL MIRROR DIAMANTE ,17,Lumpy,12,5,0,0,0,0
70,201106, OVAL WALL MIRROR DIAMANTE ,15,Lumpy,5,10,0,0,0,0
71,201107, OVAL WALL MIRROR DIAMANTE ,16,Lumpy,10,6,0,0,0,0
72,201108, OVAL WALL MIRROR DIAMANTE ,5,Lumpy,1,4,0,0,0,0
73,201109, OVAL WALL MIRROR DIAMANTE ,14,Lumpy,4,10,0,0,0,0
74,201110, OVAL WALL MIRROR DIAMANTE ,16,Lumpy,5,11,0,0,0,0
75,201111, OVAL WALL MIRROR DIAMANTE ,24,Lumpy,12,12,0,0,0,0
76,201112, OVAL WALL MIRROR DIAMANTE ,2,Lumpy,0,2,0,0,0,0
77,201101, RED SPOT GIFT BAG LARGE,44,Lumpy,44,0,0,0,0,1
78,201102, RED SPOT GIFT BAG LARGE,46,Lumpy,44,2,0,0,0,1
79,201103, RED SPOT GIFT BAG LARGE,84,Lumpy,84,0,0,0,0,1
80,201104, RED SPOT GIFT BAG LARGE,28,Lumpy,28,0,0,0,0,1
81,201105, RED SPOT GIFT BAG LARGE,462,Lumpy,60,2,0,0,400,1
82,201106, RED SPOT GIFT BAG LARGE,6,Lumpy,6,0,0,0,0,1
83,201107, RED SPOT GIFT BAG LARGE,30,Lumpy,24,6,0,0,0,1
84,201108, RED SPOT GIFT BAG LARGE,72,Lumpy,70,2,0,0,0,1
85,201109, RED SPOT GIFT BAG LARGE,326,Lumpy,275,3,0,0,48,1
86,201110, RED SPOT GIFT BAG LARGE,341,Lumpy,336,5,0,0,0,1
87,201111, RED SPOT GIFT BAG LARGE,261,Lumpy,257,4,0,0,0,1
88,201112, RED SPOT GIFT BAG LARGE,27,Lumpy,24,3,0,0,0,1
89,201001, SET 2 TEA TOWELS I LOVE LONDON ,73,Lumpy,70,3,0,0,0,1
90,201002, SET 2 TEA TOWELS I LOVE LONDON ,2,Lumpy,2,0,0,0,0,1
91,201003, SET 2 TEA TOWELS I LOVE LONDON ,8,Lumpy,5,3,0,0,0,1
92,201005, SET 2 TEA TOWELS I LOVE LONDON ,22,Lumpy,22,0,0,0,0,1
93,201006, SET 2 TEA TOWELS I LOVE LONDON ,36,Lumpy,32,4,0,0,0,1
94,201007, SET 2 TEA TOWELS I LOVE LONDON ,25,Lumpy,10,15,0,0,0,1
95,201008, SET 2 TEA TOWELS I LOVE LONDON ,39,Lumpy,39,0,0,0,0,1
96,201009, SET 2 TEA TOWELS I LOVE LONDON ,19,Lumpy,16,3,0,0,0,1
97,201010, SET 2 TEA TOWELS I LOVE LONDON ,7,Lumpy,7,0,0,0,0,1
98,201012, SET 2 TEA TOWELS I LOVE LONDON ,105,Lumpy,80,25,0,0,0,1
99,201101, SET 2 TEA TOWELS I LOVE LONDON ,406,Lumpy,397,9,0,0,0,1
100,201102, SET 2 TEA TOWELS I LOVE LONDON ,123,Lumpy,75,7,0,0,41,1
101,201103, SET 2 TEA TOWELS I LOVE LONDON ,1167,Lumpy,1017,50,0,0,100,1
102,201104, SET 2 TEA TOWELS I LOVE LONDON ,289,Lumpy,277,12,0,0,0,1
103,201105, SET 2 TEA TOWELS I LOVE LONDON ,218,Lumpy,206,12,0,0,0,1
104,201106, SET 2 TEA TOWELS I LOVE LONDON ,37,Lumpy,37,0,0,0,0,1
105,201107, SET 2 TEA TOWELS I LOVE LONDON ,61,Lumpy,60,1,0,0,0,1
106,201108, SET 2 TEA TOWELS I LOVE LONDON ,20,Lumpy,18,2,0,0,0,1
107,201109, SET 2 TEA TOWELS I LOVE LONDON ,32,Lumpy,27,5,0,0,0,1
108,201110, SET 2 TEA TOWELS I LOVE LONDON ,21,Lumpy,15,6,0,0,0,1
109,201111, SET 2 TEA TOWELS I LOVE LONDON ,37,Lumpy,32,5,0,0,0,1
110,201112, SET 2 TEA TOWELS I LOVE LONDON ,61,Lumpy,61,0,0,0,0,1
111,201101, SPACEBOY BABY GIFT SET,7,Lumpy,7,0,0,0,0,0
112,201102, SPACEBOY BABY GIFT SET,8,Lumpy,5,3,0,0,0,0
113,201103, SPACEBOY BABY GIFT SET,94,Lumpy,68,8,18,0,0,0
114,201104, SPACEBOY BABY GIFT SET,35,Lumpy,32,3,0,0,0,0
115,201105, SPACEBOY BABY GIFT SET,45,Lumpy,36,3,0,0,6,0
116,201106, SPACEBOY BABY GIFT SET,33,Lumpy,31,2,0,0,0,0
117,201107, SPACEBOY BABY GIFT SET,22,Lumpy,17,2,0,0,3,0
118,201108, SPACEBOY BABY GIFT SET,25,Lumpy,16,3,0,0,6,0
119,201109, SPACEBOY BABY GIFT SET,56,Lumpy,43,9,0,0,4,0
120,201110, SPACEBOY BABY GIFT SET,89,Lumpy,50,3,0,0,36,0
121,201111, SPACEBOY BABY GIFT SET,61,Lumpy,26,12,12,0,11,0
122,201112, SPACEBOY BABY GIFT SET,18,Lumpy,11,1,6,0,0,0
123,201106, TOADSTOOL BEDSIDE LIGHT ,2,,2,0,0,0,0,0
124,201101, TRELLIS COAT RACK,-1,Lumpy,-1,0,0,0,0,0
125,201102, TRELLIS COAT RACK,8,Lumpy,8,0,0,0,0,0
126,201103, TRELLIS COAT RACK,1,Lumpy,0,1,0,0,0,0
127,201104, TRELLIS COAT RACK,5,Lumpy,4,1,0,0,0,0
128,201106, TRELLIS COAT RACK,7,Lumpy,1,0,0,0,6,0
129,201108, TRELLIS COAT RACK,10,Lumpy,9,1,0,0,0,0
130,201109, TRELLIS COAT RACK,107,Lumpy,50,3,0,0,54,0
131,201110, TRELLIS COAT RACK,58,Lumpy,49,2,0,0,7,0
132,201111, TRELLIS COAT RACK,24,Lumpy,21,2,0,0,1,0
133,201112, TRELLIS COAT RACK,7,Lumpy,7,0,0,0,0,0
134,201009,*Boombox Ipod Classic,1,,0,1,0,0,0,0
135,201012,*USB Office Mirror Ball,2,,0,2,0,0,0,0
136,201001,10 COLOUR SPACEBOY PEN,145,Lumpy,144,1,0,0,0,4
137,201002,10 COLOUR SPACEBOY PEN,50,Lumpy,50,0,0,0,0,4
138,201003,10 COLOUR SPACEBOY PEN,34,Lumpy,26,8,0,0,0,4
139,201005,10 COLOUR SPACEBOY PEN,12,Lumpy,12,0,0,0,0,4
140,201006,10 COLOUR SPACEBOY PEN,54,Lumpy,48,6,0,0,0,4
141,201007,10 COLOUR SPACEBOY PEN,29,Lumpy,25,4,0,0,0,4
142,201008,10 COLOUR SPACEBOY PEN,50,Lumpy,50,0,0,0,0,4
143,201009,10 COLOUR SPACEBOY PEN,24,Lumpy,24,0,0,0,0,4
144,201010,10 COLOUR SPACEBOY PEN,5,Lumpy,0,5,0,0,0,4
145,201012,10 COLOUR SPACEBOY PEN,162,Lumpy,157,5,0,0,0,4
146,201101,10 COLOUR SPACEBOY PEN,175,Lumpy,169,6,0,0,0,4
147,201102,10 COLOUR SPACEBOY PEN,227,Lumpy,205,22,0,0,0,4
148,201103,10 COLOUR SPACEBOY PEN,347,Lumpy,343,1,0,0,3,4
149,201104,10 COLOUR SPACEBOY PEN,184,Lumpy,165,7,0,0,12,4
150,201105,10 COLOUR SPACEBOY PEN,393,Lumpy,384,6,0,0,3,4
151,201106,10 COLOUR SPACEBOY PEN,880,Lumpy,516,76,144,0,144,4
152,201107,10 COLOUR SPACEBOY PEN,507,Lumpy,466,41,0,0,0,4
153,201108,10 COLOUR SPACEBOY PEN,319,Lumpy,312,7,0,0,0,4
154,201109,10 COLOUR SPACEBOY PEN,609,Lumpy,444,19,144,0,2,4
155,201110,10 COLOUR SPACEBOY PEN,750,Lumpy,516,12,144,0,78,4
156,201111,10 COLOUR SPACEBOY PEN,1051,Lumpy,745,15,288,0,3,4
157,201112,10 COLOUR SPACEBOY PEN,385,Lumpy,192,49,144,0,0,4
158,201002,12 COLOURED PARTY BALLOONS,10,Lumpy,10,0,0,0,0,1
159,201003,12 COLOURED PARTY BALLOONS,10,Lumpy,0,10,0,0,0,1
160,201005,12 COLOURED PARTY BALLOONS,6,Lumpy,6,0,0,0,0,1
161,201006,12 COLOURED PARTY BALLOONS,12,Lumpy,12,0,0,0,0,1
162,201009,12 COLOURED PARTY BALLOONS,20,Lumpy,20,0,0,0,0,1
163,201012,12 COLOURED PARTY BALLOONS,4,Lumpy,0,4,0,0,0,1
164,201101,12 COLOURED PARTY BALLOONS,213,Lumpy,210,3,0,0,0,1
165,201102,12 COLOURED PARTY BALLOONS,103,Lumpy,103,0,0,0,0,1
166,201103,12 COLOURED PARTY BALLOONS,132,Lumpy,130,2,0,0,0,1
167,201104,12 COLOURED PARTY BALLOONS,184,Lumpy,180,4,0,0,0,1
168,201105,12 COLOURED PARTY BALLOONS,221,Lumpy,214,7,0,0,0,1
169,201106,12 COLOURED PARTY BALLOONS,165,Lumpy,161,4,0,0,0,1
170,201107,12 COLOURED PARTY BALLOONS,215,Lumpy,193,2,0,0,20,1
171,201108,12 COLOURED PARTY BALLOONS,131,Lumpy,129,2,0,0,0,1
172,201109,12 COLOURED PARTY BALLOONS,247,Lumpy,244,2,0,0,1,1
173,201110,12 COLOURED PARTY BALLOONS,121,Lumpy,118,3,0,0,0,1
174,201111,12 COLOURED PARTY BALLOONS,286,Lumpy,283,1,0,0,2,1
175,201112,12 COLOURED PARTY BALLOONS,55,Lumpy,54,1,0,0,0,1
176,201001,12 DAISY PEGS IN WOOD BOX,8,Erratic,8,0,0,0,0,0
177,201006,12 DAISY PEGS IN WOOD BOX,1,Erratic,0,1,0,0,0,0
178,201010,12 DAISY PEGS IN WOOD BOX,1,Erratic,0,1,0,0,0,0
179,201012,12 DAISY PEGS IN WOOD BOX,7,Erratic,7,0,0,0,0,0
180,201101,12 DAISY PEGS IN WOOD BOX,90,Erratic,77,1,0,0,12,0
181,201102,12 DAISY PEGS IN WOOD BOX,2,Erratic,1,1,0,0,0,0
182,201103,12 DAISY PEGS IN WOOD BOX,47,Erratic,46,1,0,0,0,0
183,201104,12 DAISY PEGS IN WOOD BOX,52,Erratic,48,4,0,0,0,0
184,201105,12 DAISY PEGS IN WOOD BOX,8,Erratic,8,0,0,0,0,0
185,201106,12 DAISY PEGS IN WOOD BOX,18,Erratic,6,0,0,0,12,0
186,201107,12 DAISY PEGS IN WOOD BOX,37,Erratic,17,8,0,0,12,0
187,201108,12 DAISY PEGS IN WOOD BOX,30,Erratic,17,1,0,0,12,0
188,201109,12 DAISY PEGS IN WOOD BOX,8,Erratic,6,0,0,0,2,0
189,201110,12 DAISY PEGS IN WOOD BOX,17,Erratic,14,3,0,0,0,0
190,201111,12 DAISY PEGS IN WOOD BOX,10,Erratic,10,0,0,0,0,0
191,201112,12 DAISY PEGS IN WOOD BOX,13,Erratic,12,1,0,0,0,0
192,201006,12 EGG HOUSE PAINTED WOOD,2,Lumpy,0,2,0,0,0,0
193,201007,12 EGG HOUSE PAINTED WOOD,1,Lumpy,0,1,0,0,0,0
194,201009,12 EGG HOUSE PAINTED WOOD,1,Lumpy,0,1,0,0,0,0
195,201012,12 EGG HOUSE PAINTED WOOD,7,Lumpy,2,5,0,0,0,0
196,201101,12 EGG HOUSE PAINTED WOOD,19,Lumpy,16,3,0,0,0,0
197,201102,12 EGG HOUSE PAINTED WOOD,15,Lumpy,14,1,0,0,0,0
198,201103,12 EGG HOUSE PAINTED WOOD,18,Lumpy,9,7,0,0,2,0
199,201104,12 EGG HOUSE PAINTED WOOD,7,Lumpy,5,2,0,0,0,0
200,201105,12 EGG HOUSE PAINTED WOOD,6,Lumpy,4,2,0,0,0,0
201,201106,12 EGG HOUSE PAINTED WOOD,13,Lumpy,8,3,0,0,2,0
202,201107,12 EGG HOUSE PAINTED WOOD,9,Lumpy,7,2,0,0,0,0
203,201108,12 EGG HOUSE PAINTED WOOD,6,Lumpy,1,2,0,0,3,0
204,201109,12 EGG HOUSE PAINTED WOOD,8,Lumpy,6,1,0,0,1,0
205,201110,12 EGG HOUSE PAINTED WOOD,14,Lumpy,5,2,0,0,7,0
206,201111,12 EGG HOUSE PAINTED WOOD,16,Lumpy,2,2,0,0,12,0
207,201112,12 EGG HOUSE PAINTED WOOD,6,Lumpy,0,2,0,0,4,0
208,201107,12 HANGING EGGS HAND PAINTED,10,Erratic,10,0,0,0,0,0
209,201111,12 HANGING EGGS HAND PAINTED,32,Erratic,32,0,0,0,0,0
210,201001,12 IVORY ROSE PEG PLACE SETTINGS,1,Erratic,0,1,0,0,0,0
211,201005,12 IVORY ROSE PEG PLACE SETTINGS,7,Erratic,7,0,0,0,0,0
212,201006,12 IVORY ROSE PEG PLACE SETTINGS,12,Erratic,0,0,0,0,12,0
213,201010,12 IVORY ROSE PEG PLACE SETTINGS,1,Erratic,1,0,0,0,0,0
214,201012,12 IVORY ROSE PEG PLACE SETTINGS,1,Erratic,0,0,0,0,1,0
215,201101,12 IVORY ROSE PEG PLACE SETTINGS,40,Erratic,35,5,0,0,0,0
216,201102,12 IVORY ROSE PEG PLACE SETTINGS,100,Erratic,41,30,0,0,29,0
217,201103,12 IVORY ROSE PEG PLACE SETTINGS,191,Erratic,144,35,0,0,12,0
218,201104,12 IVORY ROSE PEG PLACE SETTINGS,80,Erratic,53,24,0,0,3,0
219,201105,12 IVORY ROSE PEG PLACE SETTINGS,89,Erratic,46,16,0,0,27,0
220,201106,12 IVORY ROSE PEG PLACE SETTINGS,109,Erratic,76,32,0,0,1,0
221,201107,12 IVORY ROSE PEG PLACE SETTINGS,85,Erratic,49,19,0,0,17,0
222,201108,12 IVORY ROSE PEG PLACE SETTINGS,121,Erratic,69,26,0,0,26,0
223,201109,12 IVORY ROSE PEG PLACE SETTINGS,35,Erratic,20,15,0,0,0,0
224,201110,12 IVORY ROSE PEG PLACE SETTINGS,9,Erratic,6,3,0,0,0,0
225,201111,12 IVORY ROSE PEG PLACE SETTINGS,22,Erratic,19,0,0,0,3,0
226,201112,12 IVORY ROSE PEG PLACE SETTINGS,65,Erratic,51,14,0,0,0,0
227,201001,12 MESSAGE CARDS WITH ENVELOPES,9,Lumpy,6,3,0,0,0,1
228,201002,12 MESSAGE CARDS WITH ENVELOPES,3,Lumpy,3,0,0,0,0,1
229,201003,12 MESSAGE CARDS WITH ENVELOPES,4,Lumpy,0,4,0,0,0,1
230,201005,12 MESSAGE CARDS WITH ENVELOPES,3,Lumpy,3,0,0,0,0,1
231,201006,12 MESSAGE CARDS WITH ENVELOPES,21,Lumpy,15,6,0,0,0,1
232,201007,12 MESSAGE CARDS WITH ENVELOPES,1,Lumpy,0,1,0,0,0,1
233,201008,12 MESSAGE CARDS WITH ENVELOPES,1,Lumpy,0,1,0,0,0,1
234,201009,12 MESSAGE CARDS WITH ENVELOPES,32,Lumpy,31,1,0,0,0,1
235,201010,12 MESSAGE CARDS WITH ENVELOPES,4,Lumpy,3,1,0,0,0,1
236,201012,12 MESSAGE CARDS WITH ENVELOPES,134,Lumpy,63,11,0,0,60,1
237,201101,12 MESSAGE CARDS WITH ENVELOPES,100,Lumpy,94,6,0,0,0,1
238,201102,12 MESSAGE CARDS WITH ENVELOPES,161,Lumpy,154,7,0,0,0,1
239,201103,12 MESSAGE CARDS WITH ENVELOPES,53,Lumpy,51,2,0,0,0,1
240,201104,12 MESSAGE CARDS WITH ENVELOPES,167,Lumpy,165,2,0,0,0,1
241,201105,12 MESSAGE CARDS WITH ENVELOPES,164,Lumpy,159,5,0,0,0,1
242,201106,12 MESSAGE CARDS WITH ENVELOPES,98,Lumpy,76,10,0,0,12,1
243,201107,12 MESSAGE CARDS WITH ENVELOPES,219,Lumpy,75,10,0,0,134,1
244,201108,12 MESSAGE CARDS WITH ENVELOPES,113,Lumpy,108,5,0,0,0,1
245,201109,12 MESSAGE CARDS WITH ENVELOPES,86,Lumpy,22,4,0,0,60,1
246,201110,12 MESSAGE CARDS WITH ENVELOPES,98,Lumpy,93,5,0,0,0,1
247,201111,12 MESSAGE CARDS WITH ENVELOPES,213,Lumpy,194,7,0,0,12,1
248,201112,12 MESSAGE CARDS WITH ENVELOPES,55,Lumpy,35,20,0,0,0,1
249,201001,12 PENCIL SMALL TUBE WOODLAND,18,Lumpy,2,16,0,0,0,4
250,201002,12 PENCIL SMALL TUBE WOODLAND,90,Lumpy,90,0,0,0,0,4
251,201003,12 PENCIL SMALL TUBE WOODLAND,2,Lumpy,0,2,0,0,0,4
252,201005,12 PENCIL SMALL TUBE WOODLAND,11,Lumpy,11,0,0,0,0,4
253,201006,12 PENCIL SMALL TUBE WOODLAND,16,Lumpy,7,9,0,0,0,4
254,201007,12 PENCIL SMALL TUBE WOODLAND,8,Lumpy,5,3,0,0,0,4
255,201008,12 PENCIL SMALL TUBE WOODLAND,11,Lumpy,6,5,0,0,0,4
256,201009,12 PENCIL SMALL TUBE WOODLAND,26,Lumpy,22,4,0,0,0,4
257,201010,12 PENCIL SMALL TUBE WOODLAND,6,Lumpy,1,5,0,0,0,4
258,201012,12 PENCIL SMALL TUBE WOODLAND,130,Lumpy,118,12,0,0,0,4
259,201101,12 PENCIL SMALL TUBE WOODLAND,430,Lumpy,361,21,0,0,48,4
260,201102,12 PENCIL SMALL TUBE WOODLAND,663,Lumpy,261,16,0,0,386,4
261,201103,12 PENCIL SMALL TUBE WOODLAND,162,Lumpy,132,30,0,0,0,4
262,201104,12 PENCIL SMALL TUBE WOODLAND,131,Lumpy,122,9,0,0,0,4
263,201105,12 PENCIL SMALL TUBE WOODLAND,138,Lumpy,120,4,0,0,14,4
264,201106,12 PENCIL SMALL TUBE WOODLAND,135,Lumpy,133,2,0,0,0,4
265,201107,12 PENCIL SMALL TUBE WOODLAND,323,Lumpy,215,108,0,0,0,4
266,201108,12 PENCIL SMALL TUBE WOODLAND,187,Lumpy,173,12,0,0,2,4
267,201109,12 PENCIL SMALL TUBE WOODLAND,130,Lumpy,120,10,0,0,0,4
268,201110,12 PENCIL SMALL TUBE WOODLAND,497,Lumpy,466,17,0,0,14,4
269,201111,12 PENCIL SMALL TUBE WOODLAND,1307,Lumpy,663,213,384,0,47,4
270,201112,12 PENCIL SMALL TUBE WOODLAND,81,Lumpy,80,1,0,0,0,4
271,201001,12 PENCILS SMALL TUBE RED RETROSPOT,19,Lumpy,0,19,0,0,0,4
272,201002,12 PENCILS SMALL TUBE RED RETROSPOT,121,Lumpy,121,0,0,0,0,4
273,201003,12 PENCILS SMALL TUBE RED RETROSPOT,30,Lumpy,24,6,0,0,0,4
274,201005,12 PENCILS SMALL TUBE RED RETROSPOT,150,Lumpy,150,0,0,0,0,4
275,201006,12 PENCILS SMALL TUBE RED RETROSPOT,133,Lumpy,90,19,0,0,24,4
276,201007,12 PENCILS SMALL TUBE RED RETROSPOT,8,Lumpy,5,3,0,0,0,4
277,201008,12 PENCILS SMALL TUBE RED RETROSPOT,75,Lumpy,72,3,0,0,0,4
278,201009,12 PENCILS SMALL TUBE RED RETROSPOT,33,Lumpy,24,9,0,0,0,4
279,201010,12 PENCILS SMALL TUBE RED RETROSPOT,6,Lumpy,3,3,0,0,0,4
280,201012,12 PENCILS SMALL TUBE RED RETROSPOT,143,Lumpy,106,12,0,0,25,4
281,201101,12 PENCILS SMALL TUBE RED RETROSPOT,330,Lumpy,268,38,0,0,24,4
282,201102,12 PENCILS SMALL TUBE RED RETROSPOT,446,Lumpy,417,28,1,0,0,4
283,201103,12 PENCILS SMALL TUBE RED RETROSPOT,1569,Lumpy,1548,21,0,0,0,4
284,201104,12 PENCILS SMALL TUBE RED RETROSPOT,344,Lumpy,334,10,0,0,0,4
285,201105,12 PENCILS SMALL TUBE RED RETROSPOT,289,Lumpy,288,1,0,0,0,4
286,201106,12 PENCILS SMALL TUBE RED RETROSPOT,176,Lumpy,157,19,0,0,0,4
287,201107,12 PENCILS SMALL TUBE RED RETROSPOT,240,Lumpy,237,3,0,0,0,4
288,201108,12 PENCILS SMALL TUBE RED RETROSPOT,199,Lumpy,198,0,0,0,1,4
289,201109,12 PENCILS SMALL TUBE RED RETROSPOT,374,Lumpy,355,19,0,0,0,4
290,201110,12 PENCILS SMALL TUBE RED RETROSPOT,768,Lumpy,767,1,0,0,0,4
291,201111,12 PENCILS SMALL TUBE RED RETROSPOT,1015,Lumpy,985,26,0,0,4,4
292,201112,12 PENCILS SMALL TUBE RED RETROSPOT,52,Lumpy,52,0,0,0,0,4
293,201001,12 PENCILS SMALL TUBE SKULL,15,Lumpy,3,12,0,0,0,4
294,201002,12 PENCILS SMALL TUBE SKULL,110,Lumpy,110,0,0,0,0,4
295,201003,12 PENCILS SMALL TUBE SKULL,1,Lumpy,0,1,0,0,0,4
296,201005,12 PENCILS SMALL TUBE SKULL,61,Lumpy,61,0,0,0,0,4
297,201006,12 PENCILS SMALL TUBE SKULL,32,Lumpy,23,9,0,0,0,4
298,201007,12 PENCILS SMALL TUBE SKULL,2,Lumpy,0,2,0,0,0,4
299,201008,12 PENCILS SMALL TUBE SKULL,2,Lumpy,0,2,0,0,0,4
300,201009,12 PENCILS SMALL TUBE SKULL,52,Lumpy,48,4,0,0,0,4
301,201010,12 PENCILS SMALL TUBE SKULL,8,Lumpy,3,5,0,0,0,4
302,201012,12 PENCILS SMALL TUBE SKULL,80,Lumpy,68,6,0,0,6,4
303,201101,12 PENCILS SMALL TUBE SKULL,230,Lumpy,191,15,0,0,24,4
304,201102,12 PENCILS SMALL TUBE SKULL,264,Lumpy,233,31,0,0,0,4
305,201103,12 PENCILS SMALL TUBE SKULL,849,Lumpy,808,41,0,0,0,4
